,property,value (log),smiles_string
56,p_sim_CH4,-8.180456064,[*]CC([*])(C)C(=O)OCCOCC
57,p_exp_CH4,-8.070581074,[*]/C=C(/[*])C(C)(C)C
58,d_exp_CH4,-5.853871964,[*]/C=C(/[*])C(C)(C)C
59,s_sim_CH4,-1.32365025,[*]/C=C(/[*])C(C)(C)C
60,s_exp_CH4,-2.216709079,[*]/C=C(/[*])C(C)(C)C
61,p_exp_CH4,-8.920818754,[*]C(F)(F)C(F)(F)CC1(F)OC(F)(F)OC1([*])OC(F)(F)F
62,s_sim_CH4,-1.240024323,[*]C(F)(F)C(F)(F)CC1(F)OC(F)(F)OC1([*])OC(F)(F)F
63,p_exp_O2,-9.709965389,[*]C=CC1CC([*])C2C(=O)N(C3CCCC3)C(=O)C12
64,d_exp_O2,-7.408935393,[*]C=CC1CC([*])C2C(=O)N(C3CCCC3)C(=O)C12
65,d_sim_O2,-6.278189385,[*]C=CC1CC([*])C2C(=O)N(C3CCCC3)C(=O)C12
66,s_sim_O2,-2.07514581,[*]C=CC1CC([*])C2C(=O)N(C3CCCC3)C(=O)C12
67,s_exp_O2,-2.301029996,[*]C=CC1CC([*])C2C(=O)N(C3CCCC3)C(=O)C12
68,p_sim_O2,-8.353596274,[*]C=CC1CC([*])C2C(=O)N(C3CCCC3)C(=O)C12
69,p_exp_CO2,-8.863279433,[*]C=CC1CC([*])C2C(=O)N(C3CCCCC3)C(=O)C12
70,d_exp_CO2,-7.026872146,[*]C=CC1CC([*])C2C(=O)N(C3CCCCC3)C(=O)C12
71,d_sim_CO2,-6.283162277,[*]C=CC1CC([*])C2C(=O)N(C3CCCCC3)C(=O)C12
72,s_sim_CO2,-0.642824046,[*]C=CC1CC([*])C2C(=O)N(C3CCCCC3)C(=O)C12
73,s_exp_CO2,-1.836407289,[*]C=CC1CC([*])C2C(=O)N(C3CCCCC3)C(=O)C12
