,property,value (log),smiles_string
1958,p_exp_O2,-8.449771647,[*]CC([*])c1ccc(C(C)(C)C)cc1
1959,d_exp_O2,-6.173925197,[*]CC([*])c1ccc(C(C)(C)C)cc1
1960,d_sim_O2,-6.143875556,[*]CC([*])c1ccc(C(C)(C)C)cc1
1961,s_sim_O2,-1.906583744,[*]CC([*])c1ccc(C(C)(C)C)cc1
1962,s_exp_O2,-2.275846488,[*]CC([*])c1ccc(C(C)(C)C)cc1
1963,p_sim_O2,-8.050609993,[*]CC([*])c1ccc(C(C)(C)C)cc1
1964,p_exp_CO2,-8.452225295,[*]c1ccc(C(=O)Nc2ccc(C(c3ccc(NC(=O)c4ccc5c(c4)C(C)(C)CC5([*])C)cc3)(C(F)(F)F)C(F)(F)F)cc2)cc1
1965,p_exp_He,-8.454692884,[*]Cc1ccc(N2C(=O)c3ccc(C(c4ccc5c(c4)C(=O)N(c4ccc([*])cc4C)C5=O)(C(F)(F)F)C(F)(F)F)cc3C2=O)c(C)c1
1966,p_exp_He,-8.455931956,[*]Nc1ccc(C(c2ccc(NC(=O)c3cccc(C([*])=O)c3)cc2)(C(F)(F)F)C(F)(F)F)cc1
1967,p_exp_H2,-8.455931956,[*]Oc1ccc(C(c2ccc(OC([*])=O)cc2)(C(F)(F)F)C(F)(F)F)cc1
1968,p_exp_H2,-8.455931956,[*]Oc1ccc(Oc2cccc([*])c2C#N)c(-c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1
1969,p_exp_He,-8.455931956,[*]c1ccc(Oc2c(F)c(F)c(COC(c3cccc(C(OCc4c(F)c(F)c(Oc5ccc(N6C(=O)CCC67CCC(=O)N7[*])cc5)c(F)c4F)(C(F)(F)F)C(F)(F)F)c3)(C(F)(F)F)C(F)(F)F)c(F)c2F)cc1
1970,p_exp_He,-8.458420756,[*]C(Cl)=C([*])c1ccccc1
1971,p_exp_H2,-8.462180905,[*]Cc1cc(C)c(Oc2ccc(C(C)(C)c3ccc(Oc4c(C)cc([*])cc4C)cc3)cc2)c(C)c1
1972,p_exp_H2,-8.462180905,[*]c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(N4C(=O)c5ccc(C([*])(C(F)(F)F)C(F)(F)F)cc5C4=O)cc3)cc1)C2=O
1973,p_exp_He,-8.463441557,[*]CC([*])c1ccc(F)cc1
1974,p_exp_He,-8.46470588,[*]C(=O)Oc1ccc(C(C)(C)c2ccc(OC(=O)c3cc([*])cc(C(C)(C)C)c3)cc2)cc1
1975,p_exp_CO2,-8.465973894,[*]c1ccc(Oc2ccc(-c3ccc(N4C(=O)c5ccc(C(=O)c6ccc7c(c6)C(=O)N(c6ccc(-c8ccc(Oc9ccc%10c(c9)C([*])(C)CC%10(C)C)c(C(F)(F)F)c8)cc6)C7=O)cc5C4=O)cc3)cc2C(F)(F)F)cc1
1976,p_exp_O2,-8.468521083,[*]C(=C([*])c1ccc([Si](C)(C)CCCCCCCC)cc1)c1ccccc1
1977,p_exp_CH4,-8.468521083,[*]CC([*])c1ccc([Si](C)(C)C)cc1
1978,d_exp_CH4,-6.420216403,[*]CC([*])c1ccc([Si](C)(C)C)cc1
1979,s_exp_CH4,-2.0483047,[*]CC([*])c1ccc([Si](C)(C)C)cc1
1980,p_exp_He,-8.468521083,[*]O[Si]([*])(C)c1ccccc1
1981,p_exp_He,-8.468521083,[*]Oc1ccc(-c2ccc(Oc3c(F)c(F)c(COC(c4cccc(C(OCc5c(F)c(F)c([*])c(F)c5F)(C(F)(F)F)C(F)(F)F)c4)(C(F)(F)F)C(F)(F)F)c(F)c3F)cc2)cc1
1982,p_exp_He,-8.468521083,[*]Oc1ccc2c(c1)C(=O)N(c1cc(C)c(C)c(N3C(=O)c4ccc(Oc5cc(C)ccc5[*])cc4C3=O)c1C)C2=O
1983,p_exp_He,-8.468521083,[*]c1cc(C)c(OC(=O)c2cccc(C(=O)Oc3c(C)cc(C([*])(C)C)cc3C)c2)c(C)c1
1984,p_exp_CH4,-8.468521083,[*]c1ccc(-c2ccc(C([*])(C(F)(F)F)C(F)(F)F)cc2)cc1
1985,p_exp_H2,-8.469800302,[*]c1ccc2c(c1)C=C1C(=O)C(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N([*])C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)=CC=C12
1986,p_exp_CO2,-8.4710833,[*]c1ccc2c(c1)c1cc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N([*])C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)ccc1n2CC
1987,p_exp_O2,-8.476253533,[*]c1c(C)cc(C)c(N2C(=O)c3ccc(-c4ccc5c(c4)C(=O)N([*])C5=O)cc3C2=O)c1C
1988,p_exp_O2,-8.477555766,[*]CC([*])CC(C)C
1989,s_sim_O2,-2.167412091,[*]CC([*])CC(C)C
1990,p_exp_CO2,-8.480172006,[*]c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(-c4ccc(-c5ccc(Oc6ccc(N7C(=O)c8ccc(C([*])(C(F)(F)F)C(F)(F)F)cc8C7=O)cc6)c(C(F)(F)F)c5)cc4)cc3C(F)(F)F)cc1)C2=O
1991,p_exp_He,-8.48148606,[*]/C(=C(/[*])c1ccc([Si](c2ccccc2)(c2ccccc2)c2ccccc2)cc1)c1ccccc1
1992,p_exp_He,-8.48148606,[*]Oc1ccc(Cc2ccc(Oc3c(F)c(F)c(COC(c4ccc(C(OCc5c(F)c(F)c([*])c(F)c5F)(C(F)(F)F)C(F)(F)F)cc4)(C(F)(F)F)C(F)(F)F)c(F)c3F)cc2)cc1
1993,p_exp_O2,-8.48148606,[*]Oc1ccc2c(c1)C(=O)N(c1c(C)c(C)c(N3C(=O)c4ccc(Oc5cc(C)c([*])c(C)c5C)cc4C3=O)c(C)c1C)C2=O
1994,p_exp_He,-8.48148606,[*]Oc1ccc2c(c1)C(=O)N(c1c(C)c(C)c(N3C(=O)c4ccc(Oc5cc(C)ccc5[*])cc4C3=O)c(C)c1C)C2=O
1995,p_exp_CH4,-8.48148606,[*]/C(Cl)=C(/[*])CCCCCC
1996,d_exp_CH4,-6.004364805,[*]/C(Cl)=C(/[*])CCCCCC
1997,d_sim_CH4,-6.341035157,[*]/C(Cl)=C(/[*])CCCCCC
1998,s_exp_CH4,-2.477121298,[*]/C(Cl)=C(/[*])CCCCCC
1999,p_exp_He,-8.48148606,[*]c1ccc(Oc2ccc(C(c3ccc(Oc4ccc(C([*])(C)C)cc4)cc3)(C(F)(F)F)C(F)(F)F)cc2)cc1
2000,p_exp_He,-8.48148606,[*]c1ccc(Oc2ccc(C(c3ccc(Oc4ccc(S([*])(=O)=O)cc4)cc3)(C(F)(F)F)C(F)(F)F)cc2)cc1
2001,p_exp_He,-8.485452247,[*]Oc1c(-c2ccccc2)cc([*])cc1-c1ccccc1
2002,p_exp_O2,-8.494850022,[*]c1cc(C)c(OC(=O)Oc2c(C)cc(C([*])(C(F)(F)F)C(F)(F)F)cc2C)c(C)c1
2003,d_exp_O2,-6.508638306,[*]c1cc(C)c(OC(=O)Oc2c(C)cc(C([*])(C(F)(F)F)C(F)(F)F)cc2C)c(C)c1
2004,d_sim_O2,-5.525783736,[*]c1cc(C)c(OC(=O)Oc2c(C)cc(C([*])(C(F)(F)F)C(F)(F)F)cc2C)c(C)c1
2005,s_sim_O2,-1.644822534,[*]c1cc(C)c(OC(=O)Oc2c(C)cc(C([*])(C(F)(F)F)C(F)(F)F)cc2C)c(C)c1
2006,s_exp_O2,-1.986211701,[*]c1cc(C)c(OC(=O)Oc2c(C)cc(C([*])(C(F)(F)F)C(F)(F)F)cc2C)c(C)c1
2007,p_sim_O2,-7.170696227,[*]c1cc(C)c(OC(=O)Oc2c(C)cc(C([*])(C(F)(F)F)C(F)(F)F)cc2C)c(C)c1
2008,p_exp_CO2,-8.494850022,[*]CN1C(=O)c2ccc(C(c3ccc4c(c3)C(=O)N(Cc3ccc(-c5cc(C)c(-c6ccc([*])cc6C)cc5C)c(C)c3)C4=O)C(F)(F)F)cc2C1=O.CC(F)(F)F
2009,p_exp_CO2,-8.494850022,[*]Oc1c(Br)cc(C(c2cc(Br)c(OC([*])=O)c(Br)c2)(C(F)(F)F)C(F)(F)F)cc1Br
2010,p_exp_O2,-8.494850022,[*]c1cc(C)c(-c2ccc(CN3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(Cc5ccc([*])c(C)c5C)C6=O)C(F)(F)F)cc4C3=O)c(C)c2C)cc1C.CC(F)(F)F
2011,p_exp_O2,-8.494850022,[*]/C(Cl)=C(/[*])CCCCCC
2012,d_exp_O2,-5.638272164,[*]/C(Cl)=C(/[*])CCCCCC
2013,d_sim_O2,-5.562249437,[*]/C(Cl)=C(/[*])CCCCCC
2014,s_exp_O2,-2.856577966,[*]/C(Cl)=C(/[*])CCCCCC
2015,p_exp_H2,-8.494850022,[*]c1cc(C)c(OC(=O)Oc2c(C)cc(C([*])(C)C)cc2C)c(C)c1
2016,p_exp_He,-8.494850022,[*]c1cc(C)c(Oc2ccc(S(=O)(=O)c3ccc(Oc4c(C)cc(C(C)(C)c5ccc(C([*])(C)C)cc5)cc4C)cc3)cc2)c(C)c1
2017,p_exp_O2,-8.494850022,[*]c1ccc(-c2ccc(-c3ccc(C([*])(c4ccccc4)C(F)(F)F)cc3)cc2)cc1
2018,d_sim_O2,-5.863279433,[*]c1ccc(-c2ccc(-c3ccc(C([*])(c4ccccc4)C(F)(F)F)cc3)cc2)cc1
2019,p_exp_He,-8.49757288,[*]Cc1cc(C)c(N2C(=O)c3ccc(-c4ccc5c(c4)C(=O)N(c4c(C)cc([*])cc4C)C5=O)cc3C2=O)c(C)c1
2020,p_exp_N2,-8.498940738,[*]N=P([*])(OCC(C)C)OC(C)C
2021,d_exp_N2,-5.482804102,[*]N=P([*])(OCC(C)C)OC(C)C
2022,s_exp_N2,-3.016136562,[*]N=P([*])(OCC(C)C)OC(C)C
2023,p_exp_O2,-8.500312917,[*]/C(C)=C(/[*])c1ccccc1
2024,d_exp_O2,-6.886056648,[*]/C(C)=C(/[*])c1ccccc1
2025,d_sim_O2,-5.935542011,[*]/C(C)=C(/[*])c1ccccc1
2026,s_sim_O2,-1.707348037,[*]/C(C)=C(/[*])c1ccccc1
2027,s_exp_O2,-1.614256275,[*]/C(C)=C(/[*])c1ccccc1
2028,p_sim_O2,-7.642065153,[*]/C(C)=C(/[*])c1ccccc1
2029,p_exp_H2,-8.503070352,[*]C(=O)c1ccc(C(c2ccc(C(=O)c3ccc(Oc4ccc(C(c5ccc(Oc6ccc([*])cc6)cc5)(C(F)(F)F)C(F)(F)F)cc4)cc3)cc2)(C(F)(F)F)C(F)(F)F)cc1
2030,p_exp_CO2,-8.503070352,[*]Oc1ccc(C(c2ccc(OC(=O)c3ccc(-c4ccc(C([*])=O)cc4)cc3)cc2)(C(F)(F)F)C(F)(F)F)cc1
2031,p_exp_CO2,-8.505845406,[*]c1ccc(C(=O)Nc2ccc(-c3ccc(NC(=O)c4ccc5c(c4)C(C)(C)CC5([*])C)cc3C(F)(F)F)c(C(F)(F)F)c2)cc1
2032,p_exp_He,-8.508638306,[*]Nc1cccc(NC(=O)c2ccc(C(c3ccc(C([*])=O)cc3)(C(F)(F)F)C(F)(F)F)cc2)c1
2033,p_exp_He,-8.508638306,[*]Oc1ccc(C(=O)Nc2ccc(C(C)(C)c3ccc(NC(=O)c4ccc(Oc5cc(C(C)(C)C)c([*])cc5C(C)(C)C)cc4)cc3)cc2)cc1
2034,p_exp_CO2,-8.510041521,[*]c1c(C)cc(C)c(N2C(=O)c3ccc(C(=O)c4ccc5c(c4)C(=O)N([*])C5=O)cc3C2=O)c1C
2035,p_exp_H2,-8.511449283,[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc(C(c3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3)(C(F)(F)F)C(F)(F)F)cc1)C2=O
2036,d_exp_H2,-6.173925197,[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc(C(c3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3)(C(F)(F)F)C(F)(F)F)cc1)C2=O
2037,s_exp_H2,-2.337524079,[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc(C(c3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3)(C(F)(F)F)C(F)(F)F)cc1)C2=O
2038,p_exp_H2,-8.511449283,[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc(C(c3ccc(N4Cc5ccc([*])cc5C4=O)cc3)(C(F)(F)F)C(F)(F)F)cc1)C2=O
2039,p_exp_He,-8.511449283,[*]Cc1cc(C)c(Oc2ccc(S(=O)(=O)c3ccc(Oc4c(C)cc([*])cc4C)cc3)cc2)c(C)c1
2040,p_exp_O2,-8.512861625,[*]=NP(=NP(=[*])(Oc1ccccc1)Oc1ccc([Si](C)(C)C)cc1)(Oc1ccc(Br)cc1)Oc1ccc([Si](C)(C)C)cc1
2041,p_exp_CO2,-8.514278574,[*]C(=O)Oc1c(Br)cc(C2(c3cc(Br)c(OC(=O)c4cc([*])cc(C(C)(C)C)c4)c(Br)c3)OC(=O)c3ccccc32)cc1Br
2042,p_exp_CO2,-8.514278574,[*]OC(=O)c1cc(C(=O)COc2c(Br)cc3c(c2Br)C(=C)OC32c3cc(Br)c([*])c(Br)c32)cc(C(C)(C)C)c1
2043,p_exp_H2,-8.514278574,[*]Oc1ccc(S(=O)(=O)c2ccc(Oc3cc(C)c(C4(c5cc(C(C)C)c([*])cc5C)OC(=O)c5ccccc54)cc3C(C)C)cc2)cc1
2044,p_exp_H2,-8.514278574,[*]c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(C(c4ccc(-c5ccc(Oc6ccc(N7C(=O)c8ccc([*])cc8C7=O)cc6C(F)(F)F)cc5)cc4)(C(F)(F)F)C(F)(F)F)cc3)c(C(F)(F)F)c1)C2
2045,p_exp_H2,-8.514278574,[*]c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(C(c4ccc(Oc5ccc(N6C(=O)c7ccc([*])cc7C6=O)cc5C(F)(F)F)cc4)(C(F)(F)F)C(F)(F)F)cc3)c(C(F)(F)F)c1)C2=O
2046,d_exp_H2,-6,[*]c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(C(c4ccc(Oc5ccc(N6C(=O)c7ccc([*])cc7C6=O)cc5C(F)(F)F)cc4)(C(F)(F)F)C(F)(F)F)cc3)c(C(F)(F)F)c1)C2=O
2047,s_exp_H2,-2.514278574,[*]c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(C(c4ccc(Oc5ccc(N6C(=O)c7ccc([*])cc7C6=O)cc5C(F)(F)F)cc4)(C(F)(F)F)C(F)(F)F)cc3)c(C(F)(F)F)c1)C2=O
2048,p_exp_N2,-8.515700161,[*]c1cc2c(cc1O)C1(CC2(C)C)CC(C)(C)c2cc(-n3c(=O)c4cc5c(=O)n([*])c(=O)c5cc4c3=O)c(O)cc21
2049,p_exp_He,-8.517126416,[*]c1ccc2c(c1)C(=O)N(c1ccc(Cc3ccc(N4C(=O)c5ccc(C([*])(C(F)(F)F)C(F)(F)F)cc5C4=O)c(Cl)c3)cc1Cl)C2=O
2050,p_exp_CO2,-8.521433504,[*]c1cc2c(cc1Oc1ccccc1)C(=O)N(Cc1ccc(Oc3ccc(N4C(=O)c5cc([*])c(Oc6ccccc6)cc5C4=O)cc3)cc1)C2=O
2051,p_exp_N2,-8.522878745,[*]/C(=C(/[*])c1ccc2c(c1)CCC2)c1ccc([Si](C)(C)C)cc1
2052,p_exp_He,-8.522878745,[*]/C(C)=C(/[*])c1ccccc1
2053,d_exp_He,-5.356547324,[*]/C(C)=C(/[*])c1ccccc1
2054,s_exp_He,-3.166331538,[*]/C(C)=C(/[*])c1ccccc1
2055,p_exp_He,-8.522878745,[*]/C(CCCCCC)=C(/[*])c1ccccc1
2056,d_exp_He,-5.30980392,[*]/C(CCCCCC)=C(/[*])c1ccccc1
2057,s_exp_He,-3.213074753,[*]/C(CCCCCC)=C(/[*])c1ccccc1
2058,p_exp_CO2,-8.522878745,[*]c1ccc(N2C(=O)c3ccc(C(c4ccc5c(c4)C(=O)N(c4ccc(C([*])(C)C)cc4)C5=O)(C(F)(F)F)C(F)(F)F)cc3C2=O)cc1
2059,d_exp_CO2,-7.312471039,[*]c1ccc(N2C(=O)c3ccc(C(c4ccc5c(c4)C(=O)N(c4ccc(C([*])(C)C)cc4)C5=O)(C(F)(F)F)C(F)(F)F)cc3C2=O)cc1
2060,d_sim_CO2,-8.093664958,[*]c1ccc(N2C(=O)c3ccc(C(c4ccc5c(c4)C(=O)N(c4ccc(C([*])(C)C)cc4)C5=O)(C(F)(F)F)C(F)(F)F)cc3C2=O)cc1
2061,s_sim_CO2,-0.143617603,[*]c1ccc(N2C(=O)c3ccc(C(c4ccc5c(c4)C(=O)N(c4ccc(C([*])(C)C)cc4)C5=O)(C(F)(F)F)C(F)(F)F)cc3C2=O)cc1
2062,s_exp_CO2,-1.210407704,[*]c1ccc(N2C(=O)c3ccc(C(c4ccc5c(c4)C(=O)N(c4ccc(C([*])(C)C)cc4)C5=O)(C(F)(F)F)C(F)(F)F)cc3C2=O)cc1
2063,p_sim_CO2,-8.237321436,[*]c1ccc(N2C(=O)c3ccc(C(c4ccc5c(c4)C(=O)N(c4ccc(C([*])(C)C)cc4)C5=O)(C(F)(F)F)C(F)(F)F)cc3C2=O)cc1
2064,p_exp_O2,-8.522878745,[*]C(C)=C([*])SCC
2065,p_exp_O2,-8.522878745,[*]C=CC1CC([*])CC1[Si](C)(C)C
2066,d_exp_O2,-6.37675071,[*]C=CC1CC([*])CC1[Si](C)(C)C
2067,s_exp_O2,-2.146128044,[*]C=CC1CC([*])CC1[Si](C)(C)C
2068,p_exp_O2,-8.522878745,[*]CC([*])(C)C(=O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
2069,p_exp_CO2,-8.522878745,[*]OC(=O)Oc1ccc2c(c1)C1(CC(C)(C)c3ccc([*])cc31)CC2(C)C
2070,p_exp_CO2,-8.522878745,[*]c1cc(C)c(Oc2ccc(S(=O)(=O)c3ccc(Oc4c(C)cc(C([*])(C)C)cc4C)cc3C(O)(C(F)(F)F)C(F)(F)F)c(C(O)(C(F)(F)F)C(F)(F)F)c2)c(C)c1
2071,p_exp_He,-8.522878745,[*]c1ccc(Oc2c(F)c(F)c(COC(c3ccc(C(OCc4c(F)c(F)c(Oc5ccc(C([*])(C)C)cc5)c(F)c4F)(C(F)(F)F)C(F)(F)F)cc3)(C(F)(F)F)C(F)(F)F)c(F)c2F)cc1
2072,p_exp_CO2,-8.524328812,[*]Oc1ccc(C(c2ccc(OC(=O)c3ccc4c(c3)C(=O)c3cc(C([*])=O)ccc3-4)cc2)(C(F)(F)F)C(F)(F)F)cc1
2073,p_exp_CO2,-8.525783736,[*]CC([*])c1ccc(C)cc1
2074,d_exp_CO2,-6.863279433,[*]CC([*])c1ccc(C)cc1
2075,d_sim_CO2,-6.381951903,[*]CC([*])c1ccc(C)cc1
2076,s_sim_CO2,-1.0351022,[*]CC([*])c1ccc(C)cc1
2077,s_exp_CO2,-1.662504299,[*]CC([*])c1ccc(C)cc1
2078,p_sim_CO2,-7.416801226,[*]CC([*])c1ccc(C)cc1
2079,p_exp_N2,-8.527243551,[*]c1c(C)c(C)c(N2C(=O)c3ccc(C(c4ccc5c(c4)C(=O)N([*])C5=O)(C(F)(F)F)C(F)(F)F)cc3C2=O)c(C)c1C
2080,p_exp_H2,-8.527243551,[*]c1cc(C)c2c(c1)S(=O)(=O)c1cc(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)N([*])C6=O)cc4C3=O)cc(C)c1-2
2081,p_exp_CO2,-8.53165267,[*]N=P([*])(C)C
2082,p_exp_He,-8.53313238,[*]c1ccc2c(c1)C(=O)N(c1ccc(-c3ccc(N4C(=O)c5ccc(C([*])(C(F)(F)F)C(F)(F)F)cc5C4=O)c(O)c3)cc1O)C2=O
2083,p_exp_O2,-8.537602002,[*]/C(C)=C(/[*])[Si](C)(C)CCCC
2084,p_exp_H2,-8.537602002,[*]/C(Cl)=C(/[*])c1ccccc1
2085,d_exp_H2,-5.657577319,[*]/C(Cl)=C(/[*])c1ccccc1
2086,s_exp_H2,-2.880024623,[*]/C(Cl)=C(/[*])c1ccccc1
2087,p_exp_He,-8.537602002,[*]/C=C(/[*])c1ccccc1C
2088,d_exp_He,-4.958607315,[*]/C=C(/[*])c1ccccc1C
2089,s_exp_He,-3.578995286,[*]/C=C(/[*])c1ccccc1C
2090,p_exp_O2,-8.537602002,[*]C(=C([*])c1ccc([Si](C)(C)CCCCCCCC)cc1)c1ccc(C(C)C)cc1
2091,p_exp_N2,-8.537602002,[*]C(C)=C([*])CCCCCCC
2092,p_exp_N2,-8.537602002,[*]C(C)=C([*])CCCCCCCC
2093,p_exp_He,-8.537602002,[*]Cc1cc(C)c(Oc2ccc(C(C)(C)c3ccc(Oc4c(C)cc([*])cc4C)cc3)cc2)c(C)c1
2094,p_exp_H2,-8.537602002,[*]Nc1ccc(C(c2ccc(NC(=O)c3cccc(C([*])=O)c3)cc2)(C(F)(F)F)C(F)(F)F)cc1
2095,p_exp_CO2,-8.537602002,[*]c1cc2c(cc1Oc1ccccc1)C(=O)N(Cc1ccc(Cc3ccc(N4C(=O)c5cc([*])c(Oc6ccccc6)cc5C4=O)cc3)cc1)C2=O
2096,p_exp_He,-8.537602002,[*]c1ccc(Oc2ccc(C([*])(c3ccccc3)C(F)(F)F)cc2)cc1
2097,p_exp_O2,-8.540607512,[*]O[Si]([*])(C)c1ccccc1
2098,p_exp_H2,-8.542118103,[*]c1ccc2c(c1)C(=O)N(c1ccc(N3C(=O)c4ccc(C([*])(C(F)(F)F)C(F)(F)F)cc4C3=O)cc1)C2=O
2099,p_exp_CO2,-8.543633967,[*]c1ccc(C)c(N2C(=O)c3ccc(C(c4ccc5c(c4)C(=O)N([*])C5=O)(C(F)(F)F)C(F)(F)F)cc3C2=O)c1
2100,s_sim_CO2,1.90E-05,[*]c1ccc(C)c(N2C(=O)c3ccc(C(c4ccc5c(c4)C(=O)N([*])C5=O)(C(F)(F)F)C(F)(F)F)cc3C2=O)c1
2101,p_exp_CH4,-8.549750892,[*]c1c(C)c(C)c(N2C(=O)c3ccc(C(c4ccc5c(c4)C(=O)N([*])C5=O)(C(F)(F)F)C(F)(F)F)cc3C2=O)c(C)c1C
2102,p_exp_H2,-8.549750892,[*]c1cc2c(cc1C)-c1cc(C)c(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)N([*])C6=O)cc4C3=O)cc1S2(=O)=O
2103,p_exp_H2,-8.552841969,[*]Oc1c(-c2ccccc2)cc([*])cc1-c1ccccc1
2104,p_exp_H2,-8.552841969,[*]Oc1ccc(C(c2ccc(Oc3c(F)c(F)c(COC(c4ccc(C(OCc5c(F)c(F)c([*])c(F)c5F)(C(F)(F)F)C(F)(F)F)cc4)(C(F)(F)F)C(F)(F)F)c(F)c3F)cc2)(C(F)(F)F)C(F)(F)F)cc1
2105,p_exp_N2,-8.552841969,[*]c1c(C)cc(C)c(N2C(=O)c3ccc(C(c4ccc5c(c4)C(=O)N([*])C5=O)(C(F)(F)F)C(F)(F)F)cc3C2=O)c1C
2106,p_exp_H2,-8.552841969,[*]c1ccc(Oc2ccc(-c3ccc(Oc4ccc(S([*])(=O)=O)cc4)cc3)cc2)cc1
2107,p_exp_H2,-8.552841969,[*]c1ccc(Oc2ccc(C([*])(c3ccccc3)C(F)(F)F)cc2)cc1
2108,p_exp_H2,-8.554395797,[*]OC(=O)c1cccc(C(=O)COc2c(Br)cc3c(c2Br)C(=C)OC32c3cc(Br)c([*])c(Br)c32)c1
2109,p_exp_O2,-8.557520231,[*]C=CC1CC([*])C(C(F)(F)F)(C(F)(F)F)C1(F)F
2110,d_exp_O2,-6.187086643,[*]C=CC1CC([*])C(C(F)(F)F)(C(F)(F)F)C1(F)F
2111,s_exp_O2,-2.370433635,[*]C=CC1CC([*])C(C(F)(F)F)(C(F)(F)F)C1(F)F
2112,p_exp_CO2,-8.557520231,[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc(C(c3ccc(N4Cc5ccc([*])cc5C4=O)cc3)(C(F)(F)F)C(F)(F)F)cc1)C2=O
2113,p_exp_CO2,-8.557520231,[*]c1ccc(N2C(=O)c3ccc(-c4ccc5c(c4)C(=O)N(c4ccc(C([*])(C)C)cc4)C5=O)cc3C2=O)cc1
2114,d_exp_CO2,-7.354577731,[*]c1ccc(N2C(=O)c3ccc(-c4ccc5c(c4)C(=O)N(c4ccc(C([*])(C)C)cc4)C5=O)cc3C2=O)cc1
2115,d_sim_CO2,-8.326058001,[*]c1ccc(N2C(=O)c3ccc(-c4ccc5c(c4)C(=O)N(c4ccc(C([*])(C)C)cc4)C5=O)cc3C2=O)cc1
2116,s_sim_CO2,-0.230997262,[*]c1ccc(N2C(=O)c3ccc(-c4ccc5c(c4)C(=O)N(c4ccc(C([*])(C)C)cc4)C5=O)cc3C2=O)cc1
2117,s_exp_CO2,-1.202942502,[*]c1ccc(N2C(=O)c3ccc(-c4ccc5c(c4)C(=O)N(c4ccc(C([*])(C)C)cc4)C5=O)cc3C2=O)cc1
2118,p_sim_CO2,-8.557520231,[*]c1ccc(N2C(=O)c3ccc(-c4ccc5c(c4)C(=O)N(c4ccc(C([*])(C)C)cc4)C5=O)cc3C2=O)cc1
2119,p_exp_CO2,-8.557520231,[*]c1ccc2c(c1)C(=O)N(c1ccc(C(c3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3)(C(F)(F)F)C(F)(F)F)cc1)C2
2120,p_exp_CO2,-8.559090918,[*]c1ccc2c(c1)C(=O)n1c-2nc2ccc(Oc3ccc4nc5n(c4c3)C(=O)c3cc(C([*])(C(F)(F)F)C(F)(F)F)ccc3-5)cc21
2121,d_exp_CO2,-7.322393047,[*]c1ccc2c(c1)C(=O)n1c-2nc2ccc(Oc3ccc4nc5n(c4c3)C(=O)c3cc(C([*])(C(F)(F)F)C(F)(F)F)ccc3-5)cc21
2122,d_sim_CO2,-7.131355562,[*]c1ccc2c(c1)C(=O)n1c-2nc2ccc(Oc3ccc4nc5n(c4c3)C(=O)c3cc(C([*])(C(F)(F)F)C(F)(F)F)ccc3-5)cc21
2123,s_sim_CO2,-0.039314858,[*]c1ccc2c(c1)C(=O)n1c-2nc2ccc(Oc3ccc4nc5n(c4c3)C(=O)c3cc(C([*])(C(F)(F)F)C(F)(F)F)ccc3-5)cc21
2124,s_exp_CO2,-1.236697873,[*]c1ccc2c(c1)C(=O)n1c-2nc2ccc(Oc3ccc4nc5n(c4c3)C(=O)c3cc(C([*])(C(F)(F)F)C(F)(F)F)ccc3-5)cc21
2125,p_sim_CO2,-7.170696227,[*]c1ccc2c(c1)C(=O)n1c-2nc2ccc(Oc3ccc4nc5n(c4c3)C(=O)c3cc(C([*])(C(F)(F)F)C(F)(F)F)ccc3-5)cc21
2126,p_exp_O2,-8.562249437,[*]Cc1cc(C)c(-n2c(=O)c3cc4c(=O)n(-c5c(C)cc([*])cc5C)c(=O)c4cc3c2=O)c(C)c1
2127,p_exp_He,-8.562249437,[*]c1cc(Cl)c(OC(=O)Oc2c(Cl)cc(C([*])(C)C)cc2Cl)c(Cl)c1
2128,d_exp_He,-5.216096421,[*]c1cc(Cl)c(OC(=O)Oc2c(Cl)cc(C([*])(C)C)cc2Cl)c(Cl)c1
2129,s_exp_He,-3.346152915,[*]c1cc(Cl)c(OC(=O)Oc2c(Cl)cc(C([*])(C)C)cc2Cl)c(Cl)c1
