,zinc_ids,polymer,reactants,n_polymer_atoms
12068,ZINC000100642596,*=CC1OC2(C=*)CN(c3ccccc3C)C(=O)C2C1C(=O)OCCCCC,CCCCCOC(=O)C1C2C=CC3(CN(c4ccccc4C)C(=O)C13)O2,26
12069,ZINC000100687616,*=CCCC(C=*)CC(=O)N(C)CC1CCC(c2cc(CNC)n(C)n2)CC1,CNCc1cc(C2CCC(CN(C)C(=O)CC3C=CCC3)CC2)nn1C,26
12070,ZINC000100687679,*=CCCC(C=*)CC(=O)N(C)Cc1cc(C2CCC(CNC)CC2)nn1C,CNCC1CCC(c2cc(CN(C)C(=O)CC3C=CCC3)n(C)n2)CC1,26
12071,ZINC000100833562,*=CC1OC2(C=*)CN(c3ccc(C)cc3)C(=O)C2C1C(=O)OCCCCC,CCCCCOC(=O)C1C2C=CC3(CN(c4ccc(C)cc4)C(=O)C13)O2,26
12072,ZINC000102094516,*=CC1OC2(C=*)CN(c3ccccc3CC)C(=O)C2C1C(=O)OCCCCC,CCCCCOC(=O)C1C2C=CC3(CN(c4ccccc4CC)C(=O)C13)O2,27
12073,ZINC000102094622,*=CC1OC2(C=*)CN(c3ccc(CC)cc3)C(=O)C2C1C(=O)OCCCCC,CCCCCOC(=O)C1C2C=CC3(CN(c4ccc(CC)cc4)C(=O)C13)O2,27
12074,ZINC000102094963,*=CC1OC2(C=*)CN(c3cccc(C)c3)C(=O)C2C1C(=O)OCCCCC,CCCCCOC(=O)C1C2C=CC3(CN(c4cccc(C)c4)C(=O)C13)O2,26
12075,ZINC000102609018,*=CC1CC(C=*)C(C(=O)Nc2ccc(CN3CCCCC3)cc2)C1C(=O)O,O=C(O)C1C2C=CC(C2)C1C(=O)Nc1ccc(CN2CCCCC2)cc1,26
12076,ZINC000103766215,*=CC1CC(C=*)C2C(=O)N(c3sc4c(c3C(=O)OCC)CCCC4)C(=O)C12,CCOC(=O)c1c(N2C(=O)C3C4C=CC(C4)C3C2=O)sc2c1CCCC2,26
12077,ZINC000112678868,*=CCCC(C=*)CC(=O)N1CCN(C(C)c2nc(-c3cccs3)no2)CC1,CC(c1nc(-c2cccs2)no1)N1CCN(C(=O)CC2C=CCC2)CC1,26
12078,ZINC000165732312,*=CC1CC(C=*)C2C(=O)N(c3ccc(NC(=O)c4ccccc4)cc3)C(=O)C12,O=C(Nc1ccc(N2C(=O)C3C4C=CC(C4)C3C2=O)cc1)c1ccccc1,27
12079,ZINC000169684000,*=CC1C(=C(C)C)C(C=*)C2C(=O)N(c3ccc(Cl)c(C(=O)O)c3)C(=O)C12,CC(C)=C1C2C=CC1C1C(=O)N(c3ccc(Cl)c(C(=O)O)c3)C(=O)C21,25
12080,ZINC000238042984,*=CCCC(C=*)CC(=O)Nc1cccc(C(=O)N2CCCCC2C(=O)O)c1,O=C(CC1C=CCC1)Nc1cccc(C(=O)N2CCCCC2C(=O)O)c1,26
12081,ZINC000247796453,*=CCC(CC=*)C(=O)N1CCC2(CC1)OCCC2CCOc1ncccc1F,O=C(C1CC=CC1)N1CCC2(CC1)OCCC2CCOc1ncccc1F,27
12082,ZINC000247818564,*=CCC(CC=*)C(=O)N1CCC2(CC1)CN(Cc1ccsc1)CC2COC,COCC1CN(Cc2ccsc2)CC12CCN(C(=O)C1CC=CC1)CC2,26
12083,ZINC000247828998,*=CCC(CC=*)C(=O)N1CCC2(CC1)OCCC2CCOCc1ccccn1,O=C(C1CC=CC1)N1CCC2(CC1)OCCC2CCOCc1ccccn1,27
12084,ZINC000247873651,*=CCC(CC=*)C(=O)N1CCC2(CC1)OCCC2CCOCc1ccncc1,O=C(C1CC=CC1)N1CCC2(CC1)OCCC2CCOCc1ccncc1,27
12085,ZINC000247938410,*=CCC(CC=*)C(=O)N1CCC2(CC1)OCCC2CCOc1cccnc1,O=C(C1CC=CC1)N1CCC2(CC1)OCCC2CCOc1cccnc1,26
12086,ZINC000248158200,*=CC1CC(C(=O)NC(c2ccc(F)cc2)c2nccn2C)C(C=*)C12CC2,Cn1ccnc1C(NC(=O)C1CC2C=CC1C21CC1)c1ccc(F)cc1,26
12087,ZINC000248165693,*=CC1CC(C(=O)N(Cc2cccnc2)C2CCN(C)CC2)C(C=*)C12CC2,CN1CCC(N(Cc2cccnc2)C(=O)C2CC3C=CC2C32CC2)CC1,26
12088,ZINC000255187169,*=CC1CC(C=*)C(C(=O)Nc2cccc(C3OCC(C)(C)CO3)c2)C1C(=O)O,CC1(C)COC(c2cccc(NC(=O)C3C4C=CC(C4)C3C(=O)O)c2)OC1,27
12089,ZINC000257224228,*=CCCC(C=*)CC(=O)N1CCC(c2cncc(Nc3ncccn3)n2)CC1,O=C(CC1C=CCC1)N1CCC(c2cncc(Nc3ncccn3)n2)CC1,27
12090,ZINC000257265037,*=CCOCC1(CC=*)CCN(C(=O)CCc2ccc3[nH]c(C)nc3c2)CC1,Cc1nc2cc(CCC(=O)N3CCC4(CC=CCOC4)CC3)ccc2[nH]1,26
12091,ZINC000306128308,*=CCC(CC=*)C(=O)N1Cc2cn(Cc3cccnc3)nc2-c2ccn(C)c2C1,Cn1ccc2c1CN(C(=O)C1CC=CC1)Cc1cn(Cc3cccnc3)nc1-2,28
12092,ZINC000306142366,*=CCC(CC=*)C(=O)N1Cc2ccnn2C(CCOCc2csc(C)n2)C1,Cc1nc(COCCC2CN(C(=O)C3CC=CC3)Cc3ccnn32)cs1,26
