,zinc_ids,polymer,reactants,n_polymer_atoms
0,ZINC000005210208,*=CC(OC)OC(C=*)(CN)OC,COC1C=CC(CN)(OC)O1,11
1,ZINC000025720303,*=CC(OC)OC(C=*)(CO)OC,COC1C=CC(CO)(OC)O1,11
2,ZINC000166148404,*=CC(OC)OC(C=*)(OC)C(N)=O,COC1C=CC(OC)(C(N)=O)O1,12
3,ZINC000003860952,*=CC(OC)OC(C=*)(OC)C(=O)OC,COC(=O)C1(OC)C=CC(OC)O1,13
4,ZINC000004289101,*=CC(OC)OC(C)(C=*)OC,COC1C=CC(C)(OC)O1,10
5,ZINC000100210111,*=CCC1OC(=O)C(=CO)C1C=*,O=C1OC2CC=CC2C1=CO,11
6,ZINC000199552367,*=CCN(CC=*)c1ncc(B(O)O)cn1,OB(O)c1cnc(N2CC=CC2)nc1,14
7,ZINC000013409685,*=CC1CC(C=*)C(=O)C1=O,O=C1C(=O)C2C=CC1C2,9
8,ZINC000217701111,*=CC(OC)OC(C=*)(CCN)OC,COC1C=CC(CCN)(OC)O1,12
9,ZINC000008100962,*=CC1OC(C=*)C2C(=O)OC(=O)C12,O=C1OC(=O)C2C3C=CC(O3)C12,12
10,ZINC000115660634,*=CCCC(=S)C=*,S=C1C=CCC1,6
11,ZINC000005736216,*=CC(C)(OC)OC(C)(C=*)OC,COC1(C)C=CC(C)(OC)O1,11
12,ZINC000100639241,*=CCN(CC=*)c1ccc(CN)cc1,NCc1ccc(N2CC=CC2)cc1,13
13,ZINC000100940165,*=CC1C(=O)C(=O)C(C=*)C1=C(C)C,CC(C)=C1C2C=CC1C(=O)C2=O,12
14,ZINC000003865996,*=CC(CS(=O)(=O)C=*)N=C=O,O=C=NC1C=CS(=O)(=O)C1,10
15,ZINC000115969139,*=CC1C(=O)OC(=O)C1C=*,O=C1OC(=O)C2C=CC12,9
16,ZINC000169748072,*=Cc1ccc(B(O)O)cc1C=*,OB(O)c1ccc2c(c1)C=C2,11
17,ZINC000004830023,*=CCC1C(=NNC(N)=O)CC1C=*,NC(=O)NN=C1CC2C=CCC12,12
18,ZINC000005480518,*=CC1CC(C=*)C(C=NNC(N)=O)C1,NC(=O)NN=CC1CC2C=CC1C2,13
19,ZINC000036724851,*=CC(CS(=O)(=O)C=*)N=C=S,O=S1(=O)C=CC(N=C=S)C1,10
20,ZINC000068568696,*=CC1OC(C)(C=*)C2C(=O)OC(=O)C12,CC12C=CC(O1)C1C(=O)OC(=O)C12,13
21,ZINC000100212815,*=CC1CC(C=*)C(C(=O)NN)C1,NNC(=O)C1CC2C=CC1C2,11
22,ZINC000100548232,*=CC1(C)OC(C)(C=*)C2C(=O)OC(=O)C21,CC12C=CC(C)(O1)C1C(=O)OC(=O)C12,14
23,ZINC000104100509,*=CC1C(C=*)C2C(=O)OC(=O)C12,O=C1OC(=O)C2C3C=CC3C12,11
24,ZINC000217422065,*=CC(CC(=O)Cl)CS(=O)(=O)C=*,O=C(Cl)CC1C=CS(=O)(=O)C1,11
25,ZINC000017858938,*=CC1OC(C=*)C2C(=O)N(O)C(=O)C12,O=C1C2C3C=CC(O3)C2C(=O)N1O,13
26,ZINC000034781165,*=CCOS(=O)(=O)C=*,O=S1(=O)C=CCO1,7
27,ZINC000002579070,*=CCNC(C=*)C(N)=O,NC(=O)C1C=CCN1,8
28,ZINC000005328491,*=CC1OC(C=*)C(C(N)=O)C1C(N)=O,NC(=O)C1C2C=CC(O2)C1C(N)=O,13
29,ZINC000005373027,*=CC1OC(C=*)(CO)C2C(=O)NC(=O)C12,O=C1NC(=O)C2C1C1C=CC2(CO)O1,14
30,ZINC000100180088,*=CN=C1NC(N)=NC(=O)C1C=*,NC1=NC(=O)C2C=CN=C2N1,11
31,ZINC000001592402,*=CC1CC(C=*)C(C(=O)Cl)C1,O=C(Cl)C1CC2C=CC1C2,10
32,ZINC000006645067,*=CC1CC(C=*)C(C=C(C#N)C(N)=O)C1,N#CC(=CC1CC2C=CC1C2)C(N)=O,14
33,ZINC000012358630,*=CCC=C(C=*)C=O,O=CC1=CCC=C1,7
34,ZINC000104148455,*=CC=C(O)CC1=C(C=*)CC(=O)OC1=O,O=C1CC2=C(CC(O)=CC=C2)C(=O)O1,14
35,ZINC000001721563,*=CCCC(C=*)=C(C#N)CC#N,N#CCC(C#N)=C1C=CCC1,11
36,ZINC000054959960,*=CC1CCC(C=*)C1Br,BrC1C2C=CC1CC2,8
37,ZINC000003865117,*=CC(CS(=O)(=O)C=*)SC#N,N#CSC1C=CS(=O)(=O)C1,10
38,ZINC000008100954,*=CC1CC(C=*)C2C(=O)OC(=O)C12,O=C1OC(=O)C2C3C=CC(C3)C12,12
39,ZINC000071785321,*=CC1C(=NNC(N)=O)C2CC2C1C=*,NC(=O)NN=C1C2C=CC2C2CC12,13
40,ZINC000071785346,*=CCC1CCC(=NNC(N)=O)C1C=*,NC(=O)NN=C1CCC2CC=CC12,13
41,ZINC000005133360,*=CCC1OC1C=*,C1=CC2OC2C1,6
42,ZINC000005224738,*=CC(CS(=O)(=O)C=*)C(C#N)C#N,N#CC(C#N)C1C=CS(=O)(=O)C1,12
43,ZINC000012410378,*=CC(CC(C=*)=NOC)=NOC,CON=C1C=CC(=NOC)C1,11
44,ZINC000014958654,*=CC(O)CC(=O)OC(C)CC1OC1C=*,CC1CC2OC2C=CC(O)CC(=O)O1,14
45,ZINC000018120368,*=CCCC(=NN)C(CCC=*)=NN,NN=C1CCC=CCCC1=NN,12
46,ZINC000039049360,*=COCCOC(C)(C#C)C=*,C#CC1(C)C=COCCO1,10
47,ZINC000044590435,*=CCCC(=NO)C(CCC=*)NCCO,OCCNC1CCC=CCCC1=NO,14
48,ZINC000100019979,*=CC1CC(C=*)C2C(=O)N(O)C(=O)C12,O=C1C2C3C=CC(C3)C2C(=O)N1O,13
49,ZINC000113882566,*=CCC(CC=*)COS(C)(=O)=O,CS(=O)(=O)OCC1CC=CC1,11
50,ZINC000228983439,*=CCCC(C=*)(CO)OS(C)(=O)=O,CS(=O)(=O)OC1(CO)C=CCC1,12
51,ZINC000002173766,*=CC1CC(C=*)C(CBr)C1,BrCC1CC2C=CC1C2,9
52,ZINC000004298575,*=CC(CS(=O)(=O)C=*)NCC(=O)O,O=C(O)CNC1C=CS(=O)(=O)C1,12
53,ZINC000004954776,*=CC(CS(=O)(=O)C=*)NC(N)=O,NC(=O)NC1C=CS(=O)(=O)C1,11
54,ZINC000057312093,*=CC(CS(=O)(=O)C=*)NCCN,NCCNC1C=CS(=O)(=O)C1,11
55,ZINC000004150405,*=CCC1C(=NNC(=O)OCC)CC1C=*,CCOC(=O)NN=C1CC2C=CCC12,14
56,ZINC000038844650,*=CC=C(C=O)CC=*,O=CC1=CC=CC1,7
57,ZINC000039414450,*=CCC(CC=*)C(=O)Cl,O=C(Cl)C1CC=CC1,8
58,ZINC000071372408,*=CCC(CC=*)N=C=O,O=C=NC1CC=CC1,8
59,ZINC000071785384,*=CCCCC(=NNC(N)=O)C1CC1C=*,NC(=O)NN=C1CCCC=CC2CC12,14
60,ZINC000071785520,*=CC(CCC1CCC1C=*)=NNC(N)=O,NC(=O)NN=C1C=CC2CCC2CC1,14
61,ZINC000095883710,*=CCCC(C=*)CN=C=O,O=C=NCC1C=CCC1,9
62,ZINC000100941558,*=CC1CC(C=*)C(C#N)=C1C#N,N#CC1=C(C#N)C2C=CC1C2,11
63,ZINC000367601907,*=CC(=C=N)C(C#N)=C(C#N)C=*,N#CC1=C(C#N)C(=C=N)C=C1,11
64,ZINC000095764037,*=CCC(CBr)CC=*,BrCC1CC=CC1,7
65,ZINC000135883638,*=CCP(=O)(Cl)CC=*,O=P1(Cl)CC=CC1,7
66,ZINC000140657767,*=CCCC(C=*)CBr,BrCC1C=CCC1,7
67,ZINC000149598816,*=CCP(=O)(CC=*)OCCCl,O=P1(OCCCl)CC=CC1,10
68,ZINC000169905568,*=CC[Si](CC=*)(OCC)OCC,CCO[Si]1(OCC)CC=CC1,11
69,ZINC000001677488,*=CC1CC(C=*)C(COC(=O)CC=C)C1,C=CCC(=O)OCC1CC2C=CC1C2,14
70,ZINC000001721564,*=CCCC(C=*)C(C#N)CC#N,N#CCC(C#N)C1C=CCC1,11
71,ZINC000002572047,*=CC1CC(C=*)C(C=C)C1,C=CC1CC2C=CC1C2,9
72,ZINC000003847121,*=CC=C1C=CC(=O)C=CC(=CC=*)C1,O=C1C=CC2=CC=CC=C(C=C1)C2,13
73,ZINC000003848274,*=Cc1ccccc1C(C)(C#N)C=*,CC1(C#N)C=Cc2ccccc21,12
74,ZINC000005663703,*=CCCCCC(C=*)C(=C)C(=O)OC,C=C(C(=O)OC)C1C=CCCCC1,13
75,ZINC000005895945,*=CC1CC(C=*)C(C(C)=NO)C1,CC(=NO)C1CC2C=CC1C2,11
76,ZINC000095951486,*=CCCC(C=*)(CC=C)C(=O)OCC,C=CCC1(C(=O)OCC)C=CCC1,13
77,ZINC000100122806,*=CC1CC(C=*)C(C=CC(C)=O)C1,CC(=O)C=CC1CC2C=CC1C2,12
78,ZINC000100934349,*=CC1CC(C=*)C(CC#CC(C)(C)O)C1,CC(C)(O)C#CCC1CC2C=CC1C2,14
79,ZINC000196921793,*=CCCC(CBr)CCC=*,BrCC1CCC=CCC1,9
80,ZINC000071786011,*=CCC1CC(C(=C)C=*)C1(C)C,C=C1C=CCC2CC1C2(C)C,11
81,ZINC000078676174,*=CCC(C#N)(CC=*)c1ccc(C)cc1,Cc1ccc(C2(C#N)CC=CC2)cc1,14
82,ZINC000088466437,*=CCC=C(C=*)CCCCCCS,SCCCCCCC1=CCC=C1,12
83,ZINC000059302565,*=CCC=C(C=*)P(Cl)Cl,ClP(Cl)C1=CCC=C1,8
84,ZINC000071785386,*=CC1CC1(C)C(=C)CC(C)(C)C=*,C=C1CC(C)(C)C=CC2CC12C,12
85,ZINC000043761819,*=CC=C1CCCCC(=NO)C(=CC=*)C1,ON=C1CCCCC2=CC=CC=C1C2,14
86,ZINC000068568425,*=CC(C)=C1CC(=C(C)C=*)C(C)=CC=C1C,CC1=CC=C(C)C2=C(C)C=CC(C)=C1C2,15
87,ZINC000002568341,*=CC(=CC(C=*)C(C)(C)C)C(C)(C)C,CC(C)(C)C1=CC(C(C)(C)C)C=C1,13
88,ZINC000003075455,*=CCCCCCC(C=*)c1ccccc1,C1=CC(c2ccccc2)CCCCC1,14
89,ZINC000071785752,*=CC=C(C)C(C)=C1CCCCC1=CC=*,CC1=CC=CC=C2CCCCC2=C1C,14
90,ZINC000071786361,*=CC=C1C=C(C)C=C(C=*)CCCCC1,CC1=CC2=CC=CC(=C1)CCCCC2,14
91,ZINC000098074338,*=CCC=C(C=*)P(C(C)C)C(C)C,CC(C)P(C1=CCC=C1)C(C)C,12
92,ZINC000104645169,*=CC1CC(C=*)c2c(C)c(C)c(C)c(C)c21,Cc1c(C)c(C)c2c(c1C)C1C=CC2C1,15
93,ZINC000169827635,*=CCCCCCC(C=*)[Si](C)(C)C,C[Si](C)(C)C1C=CCCCCC1,12
94,ZINC000238791335,*=CCCC(C=*)P(C(C)C)C(C)C,CC(C)P(C(C)C)C1C=CCC1,12
95,ZINC000002558000,*=CCC(=C)CCC(C)=CCC(C)(C)C=*,C=C1CC=CC(C)(C)CC=C(C)CC1,14
96,ZINC000006093967,*=CC1CC(C=*)c2cc(C#N)ccc21,N#Cc1ccc2c(c1)C1C=CC2C1,13
97,ZINC000012358832,*=CCC=C(C=*)C(=O)c1ccccc1,O=C(C1=CCC=C1)c1ccccc1,13
98,ZINC000016083256,*=CCCCc1cc(C#N)ccc1C=*,N#Cc1ccc2c(c1)CCCC=C2,13
99,ZINC000039253966,*=CC1C=CC(=O)C(C=*)c2ccccc21,O=C1C=CC2C=CC1c1ccccc12,14
100,ZINC000104282244,*=CC12CCCCC1(C=*)CC1OC1C2,C1=CC23CCCCC12CC1OC1C3,13
101,ZINC000104285722,*=CC1c2ccccc2C2C(C=*)C12C#N,N#CC12C3C=CC1C2c1ccccc13,14
102,ZINC000001720714,*=CCCCCC1C(C=*)C1(Cl)Cl,ClC1(Cl)C2C=CCCCCC21,11
103,ZINC000003204575,*=CCCC(C=*)c1ccccc1OCC,CCOc1ccccc1C1C=CCC1,14
104,ZINC000016155410,*=CC1OC(C=*)c2cc3ccccc3cc21,C1=CC2OC1c1cc3ccccc3cc12,15
105,ZINC000034997558,*=CNc1ccccc1-c1ccccc1C=*,C1=Cc2ccccc2-c2ccccc2N1,15
106,ZINC000057988455,*=CC1C(=C(C)C)C(C=*)c2ccccc21,CC(C)=C1C2C=CC1c1ccccc12,14
107,ZINC000071259677,*=CCCCc1cc(Cl)ccc1C=*,Clc1ccc2c(c1)CCCC=C2,12
108,ZINC000104952003,*=CCCCC=C(C)CCCC=*,CC1=CCCCC=CCCC1,11
109,ZINC000195817143,*=CC=C(CC)C(C=*)[Si](C)(C)C,CCC1=CC=CC1[Si](C)(C)C,11
110,ZINC000002046031,*=CC=C(CC=*)C(=O)c1ccccc1,O=C(C1=CC=CC1)c1ccccc1,13
111,ZINC000043761968,*=Cc1ccccc1C(=NO)C1CC1C=*,ON=C1c2ccccc2C=CC2CC12,14
112,ZINC000044143722,*=CCC1C(CC#N)C(CC=*)C1CC#N,N#CCC1C2CC=CCC1C2CC#N,14
113,ZINC000071785536,*=CC(=C)CCC1CC1C=*,C=C1C=CC2CC2CC1,9
114,ZINC000071785544,*=CC(=C)CCC1CCC1C=*,C=C1C=CC2CCC2CC1,10
115,ZINC000102315301,*=CC=C(C)C(CC(C)(C)C=*)=NO,CC1=CC=CC(C)(C)CC1=NO,12
116,ZINC000196113077,*=CCCC(C=*)B1OC(C)(C)C(C)(C)O1,CC1(C)OB(C2C=CCC2)OC1(C)C,14
117,ZINC000238689460,*=CCC(C#N)(CC=*)c1ccc(C=O)cc1,N#CC1(c2ccc(C=O)cc2)CC=CC1,15
118,ZINC000017859592,*=CC1CC(C=*)C(C(=O)NN)C1C(=O)NN,NNC(=O)C1C2C=CC(C2)C1C(=O)NN,15
119,ZINC000001036792,*=Cc1ccccc1Nc1ccccc1C=*,C1=Cc2ccccc2Nc2ccccc21,15
120,ZINC000001691774,*=CCCCCCCCCC=*,C1=CCCCCCCCC1,10
121,ZINC000001847609,*=Cc1ccccc1Cc1ccccc1C=*,C1=Cc2ccccc2Cc2ccccc21,15
122,ZINC000003051878,*=Cc1ccccc1Oc1ccccc1C=*,C1=Cc2ccccc2Oc2ccccc21,15
123,ZINC000003075453,*=CCCCCC(C=*)c1ccccc1,C1=CC(c2ccccc2)CCCC1,13
124,ZINC000003198815,*=Cc1ccccc1C(C=*)c1ccccc1,C1=CC(c2ccccc2)c2ccccc21,15
125,ZINC000059671692,*=CCC(C)(CC=*)c1ccc(C)cc1,Cc1ccc(C2(C)CC=CC2)cc1,13
126,ZINC000071769628,*=CCCP(CCC=*)C(C)(C)C,CC(C)(C)P1CCC=CCC1,11
127,ZINC000071785531,*=CCCC1C(CCC=*)C1(Cl)Cl,ClC1(Cl)C2CCC=CCCC21,11
128,ZINC000071785750,*=CC12CC=C(C)CC1(C=*)CCCC2,CC1=CCC23C=CC2(CCCC3)C1,13
129,ZINC000071787038,*=CCc1c(C=*)ccc2ccc(C)cc12,Cc1ccc2ccc3c(c2c1)CC=C3,14
130,ZINC000080223459,*=CC(=CC(C=*)=C(C)C)C(C)(C)C,CC(C)=C1C=CC(C(C)(C)C)=C1,12
131,ZINC000104293684,*=CCC12CCCCC1(C=*)C=C(C)C2,CC1=CC23C=CCC2(CCCC3)C1,13
132,ZINC000001573319,*=CCCCC1C(=C)C(=O)OC1C=*,C=C1C(=O)OC2C=CCCCC12,12
133,ZINC000001595179,*=CC=C(C)C(=O)C(=O)C(C)(C)C=*,CC1=CC=CC(C)(C)C(=O)C1=O,12
134,ZINC000001676722,*=CCCC(C=*)CC(=O)OCC#C,C#CCOC(=O)CC1C=CCC1,12
135,ZINC000001690668,*=CC1CC(C=*)C(C2CO2)C1,C1=CC2CC1CC2C1CO1,10
136,ZINC000003127727,*=CC1CC(C=*)C2C(=O)C=CC12,O=C1C=CC2C3C=CC(C3)C12,11
137,ZINC000005104757,*=CCC1C(C=*)C1C=O,O=CC1C2C=CCC12,8
138,ZINC000005377125,*=CC1CC(C=*)C(C=NNC(N)=S)C1,NC(=S)NN=CC1CC2C=CC1C2,13
139,ZINC000011565306,*=CC(CC(C=*)C(C#N)C#N)=NO,N#CC(C#N)C1C=CC(=NO)C1,12
140,ZINC000036378027,*=CCCC1OC1CCC=*,C1=CCCC2OC2CC1,9
141,ZINC000036624773,*=CC=C1C(=O)CCC1C=*,O=C1CCC2C=CC=C12,9
142,ZINC000045071389,*=CCC1OC1CC1OC1CC=*,C1=CCC2OC2CC2OC2C1,11
143,ZINC000088466210,*=CC=C(C#C)CC=*,C#CC1=CC=CC1,7
144,ZINC000095951335,*=CCOCC1(CC=*)CCCC2OC21,C1=CCC2(CCCC3OC32)COC1,13
145,ZINC000100714791,*=CC1CC(C=*)C2C(O)=CC(=O)C12,O=C1C=C(O)C2C3C=CC(C3)C12,12
146,ZINC000101027464,*=CC=C1C(=O)C(=CN(C)C)CC1C=*,CN(C)C=C1CC2C=CC=C2C1=O,13
147,ZINC000104928909,*=CCC(C=C)C(C=*)CC(=O)O,C=CC1CC=CC1CC(=O)O,11
148,ZINC000217700377,*=CC(OC)OC(C=*)(CCC#N)OC,COC1C=CC(CCC#N)(OC)O1,13
149,ZINC000953002148,*=COCCOC(C)(C=*)C=C,C=CC1(C)C=COCCO1,10
150,ZINC000001670984,*=Cc1ccccc1C(C=*)C(C)C,CC(C)C1C=Cc2ccccc21,12
151,ZINC000001689811,*=CCCC(C=*)c1cc(C)ccc1O,Cc1ccc(O)c(C2C=CCC2)c1,13
152,ZINC000001767956,*=CCCC(C=*)C1CCC=C1C,CC1=CCCC1C1C=CCC1,11
153,ZINC000002507846,*=CCCC(C=*)C1CCCC1,C1=CC(C2CCCC2)CC1,10
154,ZINC000002534431,*=CC1CC(C=*)C(c2ccccc2)C1,C1=CC2CC1CC2c1ccccc1,13
155,ZINC000002539115,*=Cc1cccc2c(F)ccc(C=*)c12,Fc1ccc2c3c(cccc13)C=C2,13
156,ZINC000003177881,*=CC(C)C1(C)Oc2ccccc2C1C=*,CC1C=CC2c3ccccc3OC12C,14
157,ZINC000003204860,*=CCCC(C=*)c1ccccc1OC,COc1ccccc1C1C=CCC1,13
158,ZINC000003848112,*=CCCCCC(O)c1ccccc1C=*,OC1CCCCC=Cc2ccccc21,14
159,ZINC000005167617,*=CC1CC(C=*)c2cc(C(C)=O)ccc21,CC(=O)c1ccc2c(c1)C1C=CC2C1,14
160,ZINC000016083253,*=CCCCc1cc(OC)ccc1C=*,COc1ccc2c(c1)CCCC=C2,13
161,ZINC000059143187,*=CC(C)=CC(C=*)CCCC,CCCCC1C=CC(C)=C1,10
162,ZINC000068571821,*=CC1c2ccccc2C(C=*)C12CC2,C1=CC2c3ccccc3C1C21CC1,13
163,ZINC000071259674,*=CCCCc1cc(F)ccc1C=*,Fc1ccc2c(c1)CCCC=C2,12
164,ZINC000071617761,*=Cc1cccc2c(C(=O)O)ccc(C=*)c12,O=C(O)c1ccc2c3c(cccc13)C=C2,15
165,ZINC000071785810,*=CC1CC(C=*)c2cc(C)ccc21,Cc1ccc2c(c1)C1C=CC2C1,12
166,ZINC000083332573,*=CCCCCCC(C)C=*,CC1C=CCCCCC1,9
167,ZINC000090613507,*=CCC(CC=*)COCc1ccccc1,C1=CCC(COCc2ccccc2)C1,14
168,ZINC000095611862,*=COCCOC(C)(C=*)CCC=C(C)C,CC(C)=CCCC1(C)C=COCCO1,14
169,ZINC000100160639,*=CC1CC(C=*)C(C(=O)c2ccccc2)C1,O=C(c1ccccc1)C1CC2C=CC1C2,15
170,ZINC000115058335,*=Cc1c(C)cccc1C(C)C=*,Cc1cccc2c1C=CC2C,11
171,ZINC000006726717,*=CC1OC(C=*)C(C(=O)NCC=C)C1C(=O)O,C=CCNC(=O)C1C2C=CC(O2)C1C(=O)O,16
172,ZINC000019520248,*=CCN(C(C=*)C(=O)NCC=C)S(=O)(=O)CC,C=CCNC(=O)C1C=CCN1S(=O)(=O)CC,16
173,ZINC000040168228,*=CC(CS(=O)(=O)C=*)NC(=O)OCC1CO1,O=C(NC1C=CS(=O)(=O)C1)OCC1CO1,15
174,ZINC000040168236,*=CC(CS(=O)(=O)C=*)NC(=S)OCC1CO1,O=S1(=O)C=CC(NC(=S)OCC2CO2)C1,15
175,ZINC000005725727,*=CC1CC(C=*)C(C=NNC(=O)C(N)=O)C1,NC(=O)C(=O)NN=CC1CC2C=CC1C2,15
176,ZINC000043693342,*=CC1OC(C=*)(COC(C)=O)C2C(=O)OC(=O)C12,CC(=O)OCC12C=CC(O1)C1C(=O)OC(=O)C12,17
177,ZINC000604970824,*=CSCN(C=*)C(=O)c1ccc(B(O)O)cc1,O=C(c1ccc(B(O)O)cc1)N1C=CSC1,16
178,ZINC000004304328,*=CC(CS(=O)(=O)C=*)OS(C)(=O)=O,CS(=O)(=O)OC1C=CS(=O)(=O)C1,12
179,ZINC000004946280,*=CCOS(=O)OCC=*,O=S1OCC=CCO1,8
180,ZINC000043763058,*=CCC(O)C(C=*)CC(O)C#CC,CC#CC(O)CC1C=CCC1O,12
181,ZINC000071788809,*=CC(=CS(=O)(=O)C=*)OCC=C,C=CCOC1=CS(=O)(=O)C=C1,11
182,ZINC000083740469,*=CCC(C#N)(CC=*)C(=O)O,N#CC1(C(=O)O)CC=CC1,10
183,ZINC000001715897,*=CC=C(C)C(=O)CC(C)(C)C=*,CC1=CC=CC(C)(C)CC1=O,11
184,ZINC000005819580,*=CC=C(CC=*)C(=O)CCC,CCCC(=O)C1=CC=CC1,10
185,ZINC000039059093,*=CCC=CC(=O)C=C(C)CC=*,CC1=CC(=O)C=CCC=CC1,11
186,ZINC000043198626,*=CCCC(O)(C=C)CCC=*,C=CC1(O)CCC=CCC1,10
187,ZINC000043199235,*=CCCC(=O)C(CCC=*)OCC=C,C=CCOC1CCC=CCCC1=O,13
188,ZINC000044143757,*=CC=CC(=O)CCCCC=*,O=C1C=CC=CCCCC1,10
189,ZINC000095919696,*=CCC(CC=*)Oc1ccc(C#N)cn1,N#Cc1ccc(OC2CC=CC2)nc1,14
190,ZINC000095919697,*=CCC(CC=*)Oc1cccc(C#N)n1,N#Cc1cccc(OC2CC=CC2)n1,14
191,ZINC000095919698,*=CCC(CC=*)Oc1cc(C#N)ccn1,N#Cc1ccnc(OC2CC=CC2)c1,14
192,ZINC000102310684,*=CC1CC(C=*)C(OC(=O)C(=C)C)C1,C=C(C)C(=O)OC1CC2C=CC1C2,13
193,ZINC000102319009,*=CCC1C(=NN(C)C)C(C)(C=C)C1C=*,C=CC1(C)C(=NN(C)C)C2CC=CC21,14
194,ZINC000148645739,*=CC(OC)OC(C=*)(CCC(=O)OC)OC,COC(=O)CCC1(OC)C=CC(OC)O1,15
195,ZINC000217479830,*=CC(OC)OC(C=*)(CCNC(C)=O)OC,COC1C=CC(CCNC(C)=O)(OC)O1,15
196,ZINC000217700739,*=CC(OC)OC(C=*)(CCC(N)=O)OC,COC1C=CC(CCC(N)=O)(OC)O1,14
197,ZINC000575422865,*=CC(CS(=O)(=O)C=*)NCc1ccc(N)cc1,Nc1ccc(CNC2C=CS(=O)(=O)C2)cc1,16
198,ZINC000003882582,*=CC(CS(=O)(=O)C=*)NC(=O)CCl,O=C(CCl)NC1C=CS(=O)(=O)C1,12
199,ZINC000100396539,*=CC1OC(C=*)(CNC(C)=O)C2C(=O)OC(=O)C12,CC(=O)NCC12C=CC(O1)C1C(=O)OC(=O)C12,17
200,ZINC000004994189,*=CC(OC)OC(C=*)(OC)C(OC)OC,COC1C=CC(OC)(C(OC)OC)O1,14
201,ZINC000034590141,*=CC(OC)OC(C=*)(CNC(C)=O)OC,COC1C=CC(CNC(C)=O)(OC)O1,14
202,ZINC000000137875,*=CC(CO)OC(C=*)n1ccc(=O)[nH]c1=O,O=c1ccn(C2C=CC(CO)O2)c(=O)[nH]1,15
203,ZINC000005290470,*=CC(CS(=O)(=O)C=*)C(C(N)=O)C(N)=O,NC(=O)C(C(N)=O)C1C=CS(=O)(=O)C1,14
204,ZINC000012175529,*=CC(CS(=O)(=O)C=*)NC(=S)NCCO,O=S1(=O)C=CC(NC(=S)NCCO)C1,14
205,ZINC000040168032,*=CC(CS(=O)(=O)C=*)NC(=S)NN,NNC(=S)NC1C=CS(=O)(=O)C1,12
206,ZINC000221431511,*=CC1OC(C=*)(CO)C2C(=O)N(CCO)C(=O)C12,O=C1C2C3C=CC(CO)(O3)C2C(=O)N1CCO,17
207,ZINC000001670981,*=Cc1ccccc1C(C=*)CC,CCC1C=Cc2ccccc21,11
208,ZINC000001689804,*=Cc1cccc2cccc(C=*)c12,C1=Cc2cccc3cccc1c23,12
209,ZINC000002509370,*=CCc1ccc(Br)cc1C=*,Brc1ccc2c(c1)C=CC2,10
210,ZINC000002512409,*=Cc1cccc2c1C(C=*)CCC2,C1=CC2CCCc3cccc1c32,12
211,ZINC000003051840,*=CCc1cc(OC)c2ccccc2c1C=*,COc1cc2c(c3ccccc13)C=CC2,15
212,ZINC000003122105,*=Cc1cc(C)ccc1C(C)(C)C=*,Cc1ccc2c(c1)C=CC2(C)C,12
213,ZINC000003135536,*=CCCC(C=*)c1ccc(OC)cc1,COc1ccc(C2C=CCC2)cc1,13
214,ZINC000037625844,*=CCCC(C=*)Sc1ccccc1,C1=CC(Sc2ccccc2)CC1,12
215,ZINC000045028067,*=CC(O)C12CCCCC1(C=*)CCCC2,OC1C=CC23CCCCC12CCCC3,14
216,ZINC000059651141,*=CC=C(CC=*)CCCC,CCCCC1=CC=CC1,9
217,ZINC000066347928,*=CCc1cc(Br)ccc1C=*,Brc1ccc2c(c1)CC=C2,10
218,ZINC000071259679,*=CCCCc1ccccc1C=*,C1=Cc2ccccc2CCC1,11
219,ZINC000071654860,*=CCc1c(Br)cccc1C=*,Brc1cccc2c1CC=C2,10
220,ZINC000071785494,*=CCCCCCCCC=*,C1=CCCCCCCC1,9
221,ZINC000071785606,*=CC=C(C)CCC(C)=CC=*,CC1=CC=CC=C(C)CC1,10
222,ZINC000098074344,*=CC=C(CC=*)c1nc2ccc(C)cc2[nH]1,Cc1ccc2nc(C3=CC=CC3)[nH]c2c1,15
223,ZINC000100552505,*=CCCC=C(Br)CCC=*,BrC1=CCCC=CCC1,9
224,ZINC000101037677,*=CCCCCC(=O)CC(C=*)CC,CCC1C=CCCCCC(=O)C1,12
225,ZINC000114024231,*=CCC=C(C=*)CCCC,CCCCC1=CCC=C1,9
226,ZINC000138431000,*=CCc1cc(C(F)(F)F)ccc1C=*,FC(F)(F)c1ccc2c(c1)CC=C2,13
227,ZINC000143199366,*=CCC1CC(c2ccccc2)=COC1C=*,C1=CC2OC=C(c3ccccc3)CC2C1,15
228,ZINC000254347558,*=CC(=Nc1ccccc1C1CC1C=*)OC,COC1=Nc2ccccc2C2CC2C=C1,15
229,ZINC000328579622,*=CCC1(CC=*)C(O)=NC1c1ccccc1,OC1=NC(c2ccccc2)C12CC=CC2,15
230,ZINC000000404853,*=CC1OC(C=*)C2C(=O)N(OC)C(=O)C12,CON1C(=O)C2C3C=CC(O3)C2C1=O,14
231,ZINC000001573229,*=CCNC(=O)NCC=*,O=C1NCC=CCN1,8
232,ZINC000001847868,*=CCNNC=*,C1=CNNC1,5
233,ZINC000002004289,*=CC(C)OC(C=*)C(N)C(=O)O,CC1C=CC(C(N)C(=O)O)O1,11
234,ZINC000002201719,*=CC(CS(=O)(=O)C=*)N1CC1,O=S1(=O)C=CC(N2CC2)C1,10
