polymer_smiles,ROP of,monomer_smiles,Enthalpy of Polymerization (kJ/mol),Glass Transition Temperature (K),Specific Heat Capacity (J {gK}^{-1}),Tensile Strength at break (MPa),Thermal Decomposition Temperature (K),Youngs Modulus (GPa),fitness
[*]OCC(CC([*])C(=O)O)N1CCCC1,Ether,OC(=O)C1CC(CO1)N1CCCC1,4.019383581859494,313.24140122532845,1.1712806501984596,14.76953643858433,550.0691129520536,0.3126126727895438,0.0064749887334063
[*]CCN(C(CS[*])C(=O)O)S(=O)(=O)C(C)C(=O)OC,Thioether,COC(=O)C(C)S(=O)(=O)N1CCSCC1C(O)=O,-7.888809338598943,318.40691885352135,1.0443778531253338,15.030508504062892,500.9223519198597,0.3584686897721886,0.0064748957449258
[*]SCCC(C(=O)C1CCC(C)CC1)C([*])C,Thioether,CC1CCC(C(=O)C2CCSC2C)CC1,3.823018144779208,297.0347403287888,1.4144995743036268,14.823892524838447,575.8513328433037,0.3014303332226724,0.0064748685047272
[*]SCC(CC([*])C)C(=O)C1CCC(C)CC1,Thioether,CC1CCC(C(=O)C2CSC(C)C2)CC1,3.823018144779208,297.0347403287888,1.4144995743036268,14.823892524838447,575.8513328433037,0.3014303332226724,0.0064748685047272
[*]CCN(CC(C)CS([*])=O)C(=O)[C@@H](NC(C)=O)[C@@H](C)CC,Thioether,CC[C@H](C)[C@H](NC(C)=O)C(=O)N1CCS(=O)CC(C)C1,-7.443968292453525,357.3337747454643,1.2977996215224266,14.29125619903207,559.7423518046737,0.2695827793305367,0.0064748482412321
[*]OCCCC([*])Cn1cc(C(=O)NCCC(=O)OC)c(=O)c(C(=O)NC2CCCCCCC2)c1,Ether,COC(=O)CCNC(=O)c1cn(CC2CCCO2)cc(C(=O)NC2CCCCCCC2)c1=O,9.12724141136301,332.9447656571865,1.3066116201877591,14.448282079398634,539.5145767405629,0.2901962590229511,0.0064748081162917
[*]CCCCC(=O)C=C(S[*])C(C)NC(=O)C1CCCC1(F)F,Thiocane,CC(NC(=O)C1CCCC1(F)F)C1=CC(=O)CCCCS1,-5.993288431633798,313.8240315318108,1.2959886425733569,14.771152406185868,562.0589581936598,0.2830749391295015,0.0064748020413095
[*]CCCC(CO[*])C(N)CNC(=O)NCCC,Ether,CCCNC(=O)NCC(N)C1CCCOC1,3.4034070486919683,345.9616242945194,1.4907847982645033,14.949063736945392,519.9969503626228,0.2706212865226716,0.0064747858394243
[*]CCCN(CCCNC(=O)C1CC1)CCS[*],Thioether,O=C(NCCCN1CCCSCC1)C1CC1,-64.822985491214,272.1965578496456,1.4881274485588072,16.3969081543386,591.1740290120244,0.329701432608515,0.0064747734285207
[*]CCCCC(=O)C=C(Cc1c(C)cnn1C)S[*],Thiocane,Cc1cnn(C)c1CC1=CC(=O)CCCCS1,-13.785862947981744,285.7644018828869,1.3620124188065528,15.31885520964861,555.524996124208,0.2892098738773912,0.0064747634310787
[*]=CCCCCC(=[*])CCNC(=O)COC(=O)COc1cc(C)cc(C)c1,Cycloalkene,Cc1cc(C)cc(OCC(=O)OCC(=O)NCCC2=CCCCC2)c1,-6.443443622185951,334.5260422229767,1.173655664920807,14.563714294135572,603.2399315670133,0.2927803979735821,0.0064747425976369
[*]CCCCC(=O)C=C(S[*])C(C)(C)NS(=O)(=O)c1cc(C(=O)O)n(C)c1,Thiocane,Cn1cc(S(=O)(=O)NC(C)(C)C2=CC(=O)CCCCS2)cc1C(=O)O,2.215194878119332,332.1344054341316,1.1604982522130012,14.838126444071532,552.6626331612468,0.3001450434875488,0.0064747298418557
[*]CCCC(CCO[*])NC(=O)NCC1(OCC)CCCC1,Ether,CCOC1(CNC(=O)NC2CCCOCC2)CCCC1,-3.87798285799194,309.0878353714943,1.5764340466260909,14.299291355907918,552.7113487511873,0.2972845593465865,0.0064746995420482
[*]OC(=CCC([*])=S)CCCC,Thionoester,CCCCC1=CCC(=S)O1,-27.73178311662126,254.17695553600788,1.835654820203781,16.311053359508517,574.3715935125947,0.3082776026070863,0.0064746290874397
[*]CCN(CCC(=O)N(C)C)CC(CN)O[*],Ether,CN(C)C(=O)CCN1CCOC(CN)C1,3.657056391004225,294.3314283490181,1.5585262477397916,15.80636210292578,559.3196329861879,0.2855069734913856,0.0064746253504993
[*]SCCCC([*])C(=O)N1CC(C)N(CCN(C)C)C(C)C1,Thioether,CC1CN(C(=O)C2CCCS2)CC(C)N1CCN(C)C,9.976648155303424,313.4367063343525,1.4625283500552175,15.299752536416056,605.7590244501829,0.2864805143819004,0.0064745576208002
[*]CC(C)CN(CCO[*])CCC(C)(C)N,Ether,CC1COCCN(CCC(C)(C)N)C1,-12.896849877947815,285.4418554008007,1.863842656612396,15.605442968010903,546.6895444840193,0.2847121495324373,0.006474549605168
[*]SCCCCC([*])CCC(=O)N1CCC(CNC)C1,Thioether,CNCC1CCN(C(=O)CCC2CCCCS2)C1,13.193132960542894,286.7927551269531,1.4289370667934416,15.505921704322102,569.6527801081538,0.3051927761181444,0.0064745322235686
[*]=CCN(CC(C=[*])C(=O)N1CCN(C(C)=O)CC1)C(=O)OC(C)(C)C,Cycloalkene,CC(=O)N1CCN(CC1)C(=O)C1CN(CC=C1)C(=O)OC(C)(C)C,-2.998967470120647,361.0998027026653,1.2311857679486276,13.959671562165024,592.0196506798268,0.2789768171416223,0.006474496183547
[*]OCCCCC([*])c1nc(C(C)C)n[nH]1,Ether,CC(C)c1n[nH]c(n1)C1CCCCO1,6.7250828196887245,300.16007110476494,1.70634666621685,15.730082474648954,582.2933057874442,0.2852250257025659,0.0064744533150601
[*]SCCCC([*])CC(O)C(CC)CC,Thioether,CCC(CC)C(O)CC1CCCS1,-1.8453195870793355,255.4200758635997,1.6926854264736173,16.75500061735511,560.1399898499251,0.2999384327677638,0.0064744061879936
[*]SCCCC([*])C(O)CC(CC)CC,Thioether,CCC(CC)CC(O)C1CCCS1,-1.845319587065693,255.4200758635997,1.6926854264736173,16.75500061735511,560.1399898499251,0.2999384327677638,0.0064744061879929
[*]CCN(CCO[*])CCS(=O)CC#C,Ether,O=S(CCN1CCOCC1)CC#C,3.6067011914503446,219.21978706121445,1.758014324903488,17.14385603964329,545.5527860417963,0.3601145424813032,0.006474386020141
[*]OCCCC([*])CCC(=O)N1CCCC(CNS(C)(=O)=O)C1,Ether,CS(=O)(=O)NCC1CCCN(C1)C(=O)CCC1CCCO1,9.052880389588909,316.81647258996964,1.4627373960614205,15.306134491413834,581.7274372726679,0.2835982456691563,0.0064743649300752
[*]CCN(CCO[*])CCN(Cc1ccco1)Cc1nc(CC2CC2)no1,Ether,C(CN1CCOCC1)N(Cc1ccco1)Cc1nc(CC2CC2)no1,-35.36039368810608,287.4767956733704,1.561489199399948,14.763890232890846,564.803672875464,0.312403201168403,0.0064743644489846
[*]CCCC(CS[*])OCCC=O,Thioether,O=CCCOC1CCCSC1,-1.4659873542266888,208.4661894440651,1.722349744439125,19.174690929055217,544.6768518671394,0.3443592309036106,0.0064743509715034
[*]CCC(CC(=O)N1CCN(Cc2noc(CC)n2)CC1)CC(S[*])C(C)C,Thioether,CCc1nc(CN2CCN(C(=O)CC3CCSC(C(C)C)C3)CC2)no1,24.932907148602897,342.6696555316448,1.599741209745407,14.651341440528633,571.1523947685957,0.2956564978677779,0.0064743413784888
[*]CCC(CCS[*])C(CC(=O)O)CC(=O)O,Thioether,O=C(O)CC(CC(=O)O)C1CCSCC1,-5.955137843676652,292.7370826005936,1.1045428316295147,15.570619983226065,522.7668246880173,0.3317085635169595,0.0064743262883725
[*]CCN(CCO[*])C1(CNC(=O)N(C)[C@H]2C[C@@H](OC)C2)CCN(C)CC1,Ether,CO[C@H]1C[C@H](C1)N(C)C(=O)NCC1(CCN(C)CC1)N1CCOCC1,-1.440124299019512,313.3556443154812,1.4106693631410596,13.8301171310246,545.8416092857718,0.3081570871374756,0.0064743248783053
