smiles_string,d_exp_CH4,d_exp_CO2,d_exp_H2,d_exp_He,d_exp_N2,d_exp_O2,d_sim_CH4,d_sim_CO2,d_sim_N2,d_sim_O2,p_exp_CH4,p_exp_CO2,p_exp_H2,p_exp_He,p_exp_N2,p_exp_O2,p_sim_CH4,p_sim_CO2,p_sim_N2,p_sim_O2,s_exp_CH4,s_exp_CO2,s_exp_H2,s_exp_He,s_exp_N2,s_exp_O2,s_sim_CH4,s_sim_CO2,s_sim_N2,s_sim_O2
[*]C=CC1CC([*])C2C(=O)N(c3cc(C(F)(F)F)cc(C(F)(F)F)c3)C(=O)C12,,,,,,,,,,,-9.368556231,-8.171984936,-8.241088108,,-9.37675071,-8.869666232,,,,,,,,,,,,,,
[*]C=CC1CC([*])C2C(=O)N(c3ccccc3)C(=O)C12,-8.15490196,-7.744727495,-5.879426069,,-7.657577319,-7.200659451,,,,,-10.26760624,-8.943095149,-8.958607315,,-10.50863831,-9.841637508,,,,,-2.112704264,-1.198367656,-3.07918142,,-2.851060959,-2.640978112,,,,
[*]C=CC1CC([*])C2C1C([Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C)C2[Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C,,,,,,,,,,,-7.522878745,-6.935542011,-7.161150909,-7.37675071,-8.0,-7.530177984,,,,,,,,,,,,,,
[*]C=CC1CC([*])CC1(C#N)CC,,,,,-7.207608311,-6.821023053,,,-7.164943898,-7.04769199,,,,,,,,,-9.448550002,-9.149966742,,,,,,,-1.592264873,-1.145871193,-2.283068759,-2.102317169
[*]C=CC1CC([*])CC1(C#N)CCC,,,,,-7.301029996,-6.995678626,,,-8.103473783,-7.171984936,,,,,,,,,-10.35556141,-9.233587153,,,,,,,-1.574797431,-1.077743527,-2.251932584,-2.061347955
[*]C=CC1CC([*])CC1(C#N)CCCC,,,,,-7.022276395,-6.742321425,,,-7.571865206,-7.4710833,,,,,,,,,-9.872895202,-9.580044252,,,,,,,-1.604833338,-1.170200347,-2.300250269,-2.109403901
[*]C=CC1CC([*])CC1(C#N)C[Si](C)(C)C,,,,,-6.876148359,-6.761953897,,,,,,,,,,,,,,,,,,,,,,,,
[*]C=CC1CC([*])CC1(C#N)[Si](C)(C)C,,,,,-7.102372909,-6.774690718,,,,,,,,,,,,,,,,,,,,,,,,
[*]C=CC1CC([*])CC1(C#N)[Si](C)(C)O[Si](C)(C)C,,,,,-6.396855627,-6.184422252,,,,,,,,,,,,,,,,,,,,,,,,
[*]C=CC1CC([*])CC1(C#N)[Si](C)(C)[Si](C)(C)C,,,,,-7.017728767,-6.910094889,,,,,,,,,,,,,,,,,,,,,,,,
[*]C=CC1CC([*])CC1C#N,,,,,-7.677780705,-7.15490196,,,-7.127261173,-7.623423043,,,,,,,,,-9.698970004,-9.899629455,,,,,,,-1.813542034,-1.312477906,-2.572465855,-2.277390343
[*]C=CC1CC([*])CC1C(=O)OC,,,,,-7.602059991,-7.244125144,,,-7.007888512,-6.290730039,,,,,,,,,-9.512861625,-8.530177984,,,,,,,-1.753572478,-1.224803498,-2.504361876,-2.304863532
[*]C=CC1CC([*])CC1C(=O)Oc1ccccc1,,,,,,,,,,-5.742321425,,,,,,,,,,-8.086716098,,,,,,,,,,-2.344459932
[*]C=CC1CC([*])CC1CS(=O)(=O)c1ccc(C)cc1,,,,,-7.88941029,-7.393618635,,,,,,,,,-11.22184875,-10.40893539,,,,,,,,,-3.33243872,-3.015316549,,,,
[*]C=CC1CC([*])CC1[Si](C)(C)C,-6.853871964,-6.48148606,,,-6.522878745,-6.37675071,,,,,-8.769551079,-8.050609993,-7.853871964,,-9.142667504,-8.522878745,,,,,-1.915679119,-1.569123933,,,-2.619788758,-2.146128044,,,,
[*]C=CC1CC([*])CC1[Si](C)(C)C[Si](C)(C)C,-6.920818754,-6.677780705,,,-6.795880017,-6.677780705,,,,,-9.070581074,-8.173925197,-8.13667714,,-9.431798276,-8.795880017,,,,,-2.149762341,-1.496144491,,,-2.635918259,-2.11809929,,,,
[*]C=CC1OC(C=CC2CC([*])C3C(=O)N(c4ccccc4)C(=O)C23)C2C(=O)N(c3c(F)c(F)c(F)c(F)c3F)C(=O)C12,,,,,,,,,,,-10.19382003,-8.782516056,-8.709965389,,-10.22914799,-9.575118363,,,,,,,,,,,,,,
[*]C=CC1OC([*])C2C(=O)N(c3c(F)c(F)c(F)c(F)c3F)C(=O)C12,,,,,,,,,,,-9.946921557,-8.787812396,-8.640164518,,-9.966576245,-9.449771647,,,,,,,,,,,,,,
[*]C=Cc1ccc(C=Cc2cc(OC)c(OCCCCCCCCCCCCOc3c(OC)cc([*])cc3OC)c(OC)c2)cc1,,,,,,,,,,-6.006123085,,,,,,,,,,-8.248720896,,,,,,,,,,-2.242480382
[*]C=Cc1ccc(OCCCCCCOC(=O)c2ccc(-c3nnc(-c4ccc(C(=O)OCCCCCCOc5ccc(C=CC([*])=O)cc5)cc4)o3)cc2)cc1,,,,,,,,,,-6.346787486,,,,,,,,,,,,,,,,,,,,
[*]C=Cc1ccc([*])cc1[Si](C)(C)C(C)(C)C,,,,,,,,,,,,-8.619788758,,,-9.744727495,-9.180456064,,,,,,,,,,,,,,
[*]C=Cc1ccc([*])cc1[Si](C)(C)CCCC,,,,,,,,,,,,-8.585026652,,,-9.823908741,-9.187086643,,,,,,,,,,,,,,
[*]C=Cc1ccc([*])cc1[Si](C)(C)CCCCCCCC,,,,,,,,,,,,-8.853871964,,,-9.958607315,-9.455931956,,,,,,,,,,,,,,
[*]C=Cc1ccc([*])cc1[Si](C)(C)CCCCCCCCCCCCCCCCCC,,,,,,,,,,,,-8.22184875,,,-9.408935393,-8.920818754,,,,,,,,,,,,,,
[*]C=Cc1ccc2c(c1)C(CC(CC)CCCC)(CC(CC)CCCC)c1cc([*])ccc1-2,,,,,,,-6.244887734,,,,,,,,,,-7.920818754,,,,,,,,,,-1.676957897,,,
[*]C=Nc1nc(-c2ccc(Oc3ccc(-c4csc(N=Cc5ccc(OCCCCCCCCOc6ccc([*])cc6OC)c(OC)c5)n4)cc3)cc2)cs1,,,,,,,,,,-6.13430394,,,,,,,,,,-8.54515514,,,,,,,,,,-2.410350378
[*]CC(=O)C([*])c1cccc(C)c1,,,,,,,-6.282329497,,,,,,,,,,-8.011441043,,,,,,,,,,-1.729112659,,,
[*]CC(=O)NC([*])C=C,,,,,,,,,-5.982966661,,,,,,,,,,,,,,,,,,,,,
[*]CC(C#N)OC(=O)C([*])C,,,,,,,,,-6.046240308,,,,,,,,,,-8.657577319,,,,,,,,,,-2.611698579,
[*]CC(C)(C)C1C(=O)N(CCCC)C(=O)C1[*],,,,,,,,-6.375717904,,,,,,,,,,,,,,,,,,,,,,
[*]CC(C)O[*],,-7.000869459,,,-7.075204004,-6.653647026,,,,,-9.388276692,-8.159893906,-8.163043263,-7.995678626,-9.42365865,-8.821023053,,,,,,-1.159024449,,,-2.348454609,-2.167376015,-2.114873917,-1.474300278,-2.809927555,-2.527106704
[*]CC(CC([*])(C#N)C(=O)OC)c1ccccc1,,,,,,,,-6.612610174,,,,,,,,,,-7.271646218,,,,,,,,,,-0.659056506,,
[*]CC(CCl)O[*],,,,,,,,,,,-10.18243463,-9.096910013,,-9.316052869,-10.61978876,,,,,,,,,,,,,,,
[*]CC(F)(F)C(F)(F)C1(F)OC(C(F)(F)F)(C(F)(F)F)OC1([*])F,,,,,,,,,,,-7.408935393,-6.657577319,-6.679853714,,-7.318758763,-7.017728767,,,,,,,,,,,-1.237373982,-0.668536018,-1.919347146,-1.760099033
[*]CC(O)COc1ccc(C2(c3ccc(OCC(O)CN(C)S(=O)(=O)c4cccc(S(=O)(=O)N([*])C)c4)cc3)c3ccccc3-c3ccccc32)cc1,,,,,,,-7.175223538,,,,,,,,,,-8.598599459,,,,,,,,,,-1.422962908,,,
[*]CC([*])(C(=O)OCCC)C(=O)OCCC,,,,,,,,,-5.759450752,,,,,,,,,,-8.258060922,,,,,,,,,,-2.498863065,
[*]CC([*])(C)C,,,,,,,,,-8.076238039,-7.68613278,,,,,,,,,-10.51286162,-9.896196279,,,,,,,-1.695163919,-1.347430312,-2.436373937,-2.209794663
[*]CC([*])(C)C#N,,-9.698970004,,,,-9.522878745,,,,,,-12.49485002,,,,-12.92081875,,,,,,-2.795880017,,,,-3.397940009,-1.545352659,-1.004986221,-2.250180852,-2.037206807
[*]CC([*])(C)C(=O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,,,,,,,,,,-8.853871964,-7.886056648,-8.086186148,,-8.823908741,-8.522878745,,,,,,,,,,,,,,
[*]CC([*])(C)C(=O)NCCCCCCCCCCC(=O)NCCCCCCCCCCC(=O)O,,,,,,,,-6.301899454,,,,,,,,,,-7.673664139,,,,,,,,,,-1.372570612,,
[*]CC([*])(C)C(=O)OC,-10.04048162,-9.127261173,,-5.397940009,-8.747146969,-8.4225082,,-7.730487056,,,-12.33068312,-10.53461715,-9.449771647,-9.119758224,-12.03245202,-11.1266794,,-8.507239611,,,-2.290201489,-1.407355978,,-3.721818215,-3.285304849,-2.704171303,-1.36505929,-0.777106843,-2.097248895,-1.901748874
[*]CC([*])(C)C(=O)OC(C)(C)C,-8.102372909,-7.403402904,,,-7.560667306,-6.966576245,,,,,-10.14327111,-8.821023053,-8.206209615,-8.127261173,-10.11463878,-9.343901798,,,,,-2.040898192,-1.417620149,,,-2.553971516,-2.377325599,,,,
[*]CC([*])(C)C(=O)OC(F)(F)F,,,,,,,,-5.899629455,,,,,,,,,,-6.519993057,,,,,,,,,,-0.620487416,,
[*]CC([*])(C)C(=O)OC.CC,,-7.443697499,,,-7.795880017,-7.769551079,,,,,,,,,,,,,,,,,,,,,,,,
[*]CC([*])(C)C(=O)OCC,-7.795880017,,-5.364516253,-4.882728704,-7.440093375,-6.93930216,,,-6.230622674,,-10.45967053,-9.154281982,-8.661543506,-8.623423043,-10.4867824,-9.730487056,,,-8.536107011,,-2.663790508,,-3.297026934,-3.740695269,-3.046688844,-2.791184978,,,-2.305299091,
[*]CC([*])(C)C(=O)OCC(F)(F)C(F)F,,,,,,,,,,-6.109578981,,,,,,,,,,-8.168770306,,,,,,,,,,-2.059200469
[*]CC([*])(C)C(=O)OCCCCCCCCCCOc1ccc(OC(=O)c2ccc(OCCCC)cc2)cc1,,,,,,,-6.354577731,,,,,,,,,,-8.253365801,,,,,,,,,,-1.898726201,,,
[*]CC([*])(C)C(=O)OCCOCC,-7.37675071,-7.086186148,,,-6.958607315,-6.698970004,-6.231361899,,-5.826813732,-5.663540266,-9.910094889,-9.067526235,,,-10.41453927,-9.838631998,-8.180456064,,-8.493494968,-8.050122296,-2.533344243,-1.981340104,,,-3.455931956,-3.139661993,-1.949038686,-1.347246885,-2.666118648,-2.386635001
[*]CC([*])(C)C(=O)OCCOCCOCC,-6.795880017,-6.602059991,,,-6.568636236,-6.420216403,,,,,-8.943095149,-7.876148359,,,-9.443697499,-8.943095149,,,,,-2.147215131,-1.274088368,,,-2.875061372,-2.522878745,,,,
[*]CC([*])(C)C(=O)OCCOCCOCCOCC,,,,,,,,,,,-9.318758763,-8.128427064,,,-9.698970004,-9.408935393,,,,,,,,,,,,,,
[*]CC([*])(C)C(=O)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,,,,,,,,,,-6.450996738,,,,,,,,,,-8.095284455,,,,,,,,,,-1.644270482
[*]CC([*])(C)c1ccccc1,,,,,,,,,,,-10.85387196,-9.522878745,,-8.838631998,-10.82390874,-10.08618615,,,,,,,,,,,,,,
[*]CC([*])(CC(=O)OCC)C(=O)O,,,,,,,,-6.469800302,,,,,,,,,,-7.319664487,,,,,,,,,,-0.84953723,,
[*]CC([*])(Cl)Cl,,,,,,,,,,,,-11.537602,,,-13.02733441,-12.28399666,,,,,,,,,,,,,,
[*]CC([*])(F)C(C)=O,,,,,,,,,,-6.645891561,,,,,,,,,,-8.628932138,,,,,,,,,,-1.983518942
[*]CC([*])(F)F,,,,,,,,,,,-11.69897,-10.28650946,-10.26921772,-9.764471553,-11.65169514,-11.08301995,,,,,,,,,,,,,,
[*]CC([*])C,,,,,,,,,-6.640164518,,,-9.036212173,,,-10.30103,-9.698970004,,,-9.13430394,,,,,,,,-1.786140706,-1.419909009,-2.49402402,-2.277367969
[*]CC([*])C#N,,-11.88605665,,-7.718966633,-11.67778071,-11.08618615,,,,,,-12.74472749,,-10.27572413,-13.79588002,-13.55284197,,,,,,-0.858670849,,-2.556757515,-2.11809929,-2.46665584,-1.728647424,-1.10442608,-2.404928691,-2.174540386
[*]CC([*])C(=O)C1CCCCC1,,,,,,,,,-6.536107011,,,,,,,,,,-8.826813732,,,,,,,,,,-2.290349181,
[*]CC([*])C(=O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,,,,,,,,,,-8.244125144,-7.283996656,-7.522878745,,-8.26760624,-7.869666232,,,,,,,,,,,,,,
[*]CC([*])C(=O)N(O)c1ccc(Br)cc1,,,,,,,-6.847711656,,,,,,,,,,-8.496209317,,,,,,,,,,-1.649003488,,,
[*]CC([*])C(=O)NCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,,,,,,,-6.372634143,,,,,,,,,,,,,,,,,,,,,,
[*]CC([*])C(=O)OC,-7.91721463,,,-5.103473783,-7.41453927,,,,,,-10.58169871,-9.086716098,-8.974694135,-8.93930216,-10.66958623,-9.974694135,,,,,-2.66448413,,,-3.835828634,-3.255047078,,,,,
[*]CC([*])C(=O)OC1C=C(C)C=CC1,,,,,,,,,,-5.63638802,,,,,,,,,,-7.896196279,,,,,,,,,,-2.260574502
[*]CC([*])C(=O)OCC,,,,,,,,,,,-8.826813732,-7.754487332,-8.218963061,-8.356547324,-9.189767482,-8.721246399,,,,,,,,,,,,,,
[*]CC([*])C(=O)OCCCCCCCCCC,,,,,,,,,,,-8.320572103,-7.583359493,-8.032920266,-8.244125144,-8.721246399,-8.322393047,,,,,,,,,,,,,,
[*]CC([*])C(=O)OCCCCCCCCCCCCCC,,,,,,,,,,,-8.186419011,-7.527243551,-8.016824928,-8.276544328,-8.655607726,-8.243363892,,,,,,,,,,,,,,
[*]CC([*])CC(C)C,-6.250263684,-5.978810701,,,,,-6.698970004,-5.896196279,,,-8.70333481,-8.0,-7.835647144,-7.950781977,-9.033389013,-8.477555766,-8.37161107,-7.227678293,,,-2.453071085,-2.021189277,,,,,-1.672582108,-1.331549009,-2.354531945,-2.167412091
[*]CC([*])Cl,-9.164309429,-8.841637508,-6.195860568,-5.552841969,-8.614393726,-8.153044675,-6.966576245,-6.42945706,-6.389339837,,-11.56066731,-10.74958,-9.853871964,-9.823908741,-12.02045163,-11.32239305,-8.782516056,-7.583359493,-8.869666232,,-2.396357828,-1.907942494,-3.658011831,-4.27083521,-3.406057448,-3.169348469,-1.815114486,-1.153097516,-2.480608751,-2.221492412
[*]CC([*])F,,,-6.787812396,,,,,,,,,-11.10127482,-10.45593196,-10.1655793,-12.8096683,-11.7235382,,,,,,,-3.668119411,,,,,,,
[*]CC([*])OC(=O)C1CCCCC1,,,,,,,,,,,,-9.080921908,,-8.801342913,-10.34969248,-9.657577319,,,,,,,,,,,,,,
[*]CC([*])OC(=O)c1ccc(C)cc1,,,,,,,,,,,-10.37986395,-9.171984936,,-8.835647144,-10.4698003,-9.764471553,,,,,,,,,,,,,,
[*]CC([*])OC(=O)c1cccc(C)c1,,,,,,,,,,,-10.92811799,-9.671620397,,-9.084600165,-11.05799195,-10.30451832,,,,,,,,,,,,,,
[*]CC([*])OC(=O)c1ccccc1,,,,,,,,,,,,-9.199282922,,-8.970616222,,,,,,,,,,,,,,,,
[*]CC([*])OC(=O)c1ccccc1C,,,,,,,,,,,-10.93930216,-9.651695137,,-9.151195299,-11.06600684,-10.32790214,,,,,,,,,,,,,,
[*]CC([*])OC(C)=O,,,,,,,,,,,,,-9.036684489,-8.899629455,,-10.31158018,,,,,,,,,,,,,,
[*]CC([*])OC1C2CC3CC(C2)CC1C3,,,,,,,,,,,,-8.598599459,,,-9.772113295,-9.221125528,,,,,,,,,,,,,,
[*]CC([*])OC1CC2CC1C1CCCC21,,,,,,,,,,,,-8.899629455,,,-9.920818754,-9.514278574,,,,,,,,,,,,,,
[*]CC([*])OC1CC2CCC1C2,,,,,,,,,,,,-8.602059991,,,-10.01772877,-9.449771647,,,,,,,,,,,,,,
[*]CC([*])OC1CCCCC1,,,,,,,,,,,,-8.866461092,,,-10.00436481,-9.432973634,,,,,,,,,,,,,,
[*]CC([*])OCC(C)(C)CC,,,,,,,,,,-5.669586227,,,,,,,,,,-7.872895202,,,,,,,,,,-2.20395394
[*]CC([*])OCC(F)(F)F,,,,,,,-6.465973894,,,,,,,,,,,,,,,,,,,,,,,
[*]CC([*])OCC1CC2CC1C1CCCC21,,,,,,,,,,,,-9.54515514,,,-10.88605665,-10.09151498,,,,,,,,,,,,,,
[*]CC([*])OCC1CCCCC1,,,,,,,,,,,,-9.229884705,,,-10.39794001,-9.809668302,,,,,,,,,,,,,,
[*]CC([*])OCc1ccccc1,,,,,,,,,,,,-8.954677021,,,-10.10237291,-9.632644079,,,,,,,,,,,,,,
[*]CC([*])[Si](C)(C)C,-6.744727495,-6.301029996,-4.744727495,-4.431798276,-6.443697499,-6.119186408,,,,,-8.744727495,-7.721246399,-7.698970004,-7.744727495,-8.958607315,-8.356547324,,,,,-2.0,-1.420216403,-2.954242553,-3.312929653,-2.514909752,-2.237360892,,,,
[*]CC([*])[Si](C)(C)c1ccccc1,-7.244125144,-6.494850022,,,-7.065501549,-6.602059991,,,,,,-8.910094889,,,-10.34678749,-9.607303047,,,,,,-2.415244867,,,-3.281285783,-3.005243055,,,,
[*]CC([*])c1c(F)c(F)c(OC)c(F)c1F,,,,,,,,,-5.987162775,,,,,,,,,,-8.088842391,,,,,,,,,,-2.1017146,
[*]CC([*])c1ccc(Br)cc1,-8.119186408,-7.443697499,,,-7.537602002,-6.982966661,-8.730487056,-7.316952962,-7.943095149,-6.910094889,-10.31875876,-9.070581074,,-8.785156152,-10.49485002,-9.721246399,-10.17848647,-8.21395879,-10.07987667,-8.832682665,-2.199572387,-1.626883577,,,-2.957248128,-2.738279757,-1.447673843,-0.896809347,-2.136635497,-1.921359389
[*]CC([*])c1ccc(C(C)(C)C)cc1,-6.823908741,-6.253365801,,,,-6.173925197,-7.077274542,-6.602059991,,-6.143875556,-8.777283529,-7.853871964,,-7.982966661,-9.075720714,-8.449771647,-8.443697499,-7.552841969,,-8.050609993,-1.953374801,-1.600506159,,,,-2.275846488,-1.366151683,-0.95088477,-2.102379176,-1.906583744
[*]CC([*])c1ccc(C)cc1,-7.397940009,-6.863279433,,,-6.982966661,-6.55129368,-7.0,-6.381951903,-6.815308569,-6.244125144,-9.657577319,-8.525783736,,-8.43062609,-9.823908741,-9.142667504,-8.518557371,-7.416801226,-9.038578906,-8.256490235,-2.259637311,-1.662504299,,,-2.840941988,-2.591373752,-1.518593607,-1.0351022,-2.22314183,-2.012533682
[*]CC([*])c1ccc(C[Ge](C)(C)C)cc1,,,,,,-6.443697499,,,,,,,,,,,,,,,,,,,,,,,,
[*]CC([*])c1ccc(C[Si](C)(C)C)cc1,,,,,-6.48148606,-6.187086643,,,,,-9.107905397,-8.251811973,-8.26760624,-8.337242168,-8.346787486,-8.853871964,,,,,,,,,-1.865301415,-2.666785352,,,,
[*]CC([*])c1ccc(C[Si](C)(C)[Si](C)(C)C)cc1,,,,,,-6.26760624,,,,,,,,,,,,,,,,,,,,,,,,
[*]CC([*])c1ccc(C[Sn](C)(C)C)cc1,,,,,,-6.420216403,,,,,,,,,,,,,,,,,,,,,,,,
[*]CC([*])c1ccc(Cl)cc1,-8.214670165,-7.657577319,,,-7.619788758,-7.107905397,-7.679853714,-6.563837353,-6.728158393,-6.732828272,-10.58502665,-9.366531544,,-8.785156152,-10.63827216,-9.920818754,-9.195179321,-7.518557371,-8.906578315,-8.696803943,-2.370356495,-1.708954215,,,-3.018483557,-2.812913226,-1.515302344,-0.954148447,-2.177747752,-1.963848013
[*]CC([*])c1ccc(F)cc1,-7.795880017,-7.236572006,,,-7.26760624,-6.754487332,-7.716698771,-6.850780887,-6.638272164,-7.093664958,-9.974694135,-8.764471553,,-8.463441557,-10.08092191,-9.356547324,-9.234331445,-7.742321425,-8.863279433,-9.104025268,-2.178814117,-1.527899553,,,-2.813315678,-2.602059991,-1.51764362,-0.890882654,-2.225450336,-2.010395581
[*]CC([*])c1ccc(O)cc1,,,,,,,,,,,,,,-9.468521083,-11.82390874,-10.92081875,,,,,,,,,,,,,,
[*]CC([*])c1ccc(OC(C)=O)cc1,-7.721246399,-7.337242168,,,-7.26760624,-6.863279433,-7.336299075,-7.238072162,-6.899629455,-6.723538196,-10.00436481,-8.787812396,,-8.730487056,-10.19382003,-9.508638306,-8.991399828,-8.238824187,-9.271646218,-8.841637508,-2.283118433,-1.450570222,,,-2.926213854,-2.64535882,-1.656787819,-1.000794434,-2.372106346,-2.118178415
[*]CC([*])c1ccc(OC)cc1,-7.698970004,-7.091514981,,,-7.200659451,-6.787812396,-8.761953897,-7.187755303,-7.585026652,,-10.04095861,-8.723538196,,-8.823908741,-10.21467016,-9.585026652,-10.36653154,-8.106793247,-9.913640169,,-2.341988603,-1.632023221,,,-3.0140107,-2.797214263,-1.604987339,-0.919088606,-2.32950552,-2.09355796
[*]CC([*])c1ccc(OC)cc1Cl,,,,,,,,,,-5.91721463,,,,,,,,,,,,,,,,,,,,
[*]CC([*])c1ccc([Si](C)(C)C)cc1,-6.420216403,-6.180456064,,-4.449771647,-6.15490196,-5.809668302,,,,,-8.468521083,-7.643974143,-7.739928612,-7.931814138,-8.795880017,-8.251811973,,,,,-2.0483047,-1.463518083,,-3.482043104,-2.640978112,-2.442143698,,,,
[*]CC([*])c1ccc([Si](C)(C)CCC(F)(F)F)cc1,-6.283996656,-5.943095149,,-4.498940738,-6.0,-5.698970004,,,,,-8.657577319,-7.54668166,-7.962573502,-8.022276395,-8.928117993,-8.419075024,,,,,-2.373580687,-1.603586506,,-3.523334994,-2.928117993,-2.72010502,,,,
[*]CC([*])c1ccc([Si](C)(C)O[Si](C)(C)C)cc1,,,,,-5.958607315,-5.782516056,,,,,,,,,,,,,,,,,,,,,,,,
[*]CC([*])c1ccc([Si](C)(C)[Si](C)(C)C)cc1,,,,,,-6.022276395,,,,,,,,,,,,,,,,,,,,,,,,
[*]CC([*])c1ccc([Si](C)(C)[Si](C)(C)O[Si](C)(C)C)cc1,,,,,,-5.638272164,,,,,,,,,,,,,,,,,,,,,,,,
[*]CC([*])c1ccc([Si](C)(C)[Si](C)(C)[Si](C)(C)C)cc1,,,,,,-6.193820026,,,,,,,,,,,,,,,,,,,,,,,,
[*]CC([*])c1ccccc1,-7.860120914,-7.208309351,,,-7.387216143,-7.029653124,-7.057495894,-6.801342913,-7.443697499,-6.203425667,-10.10513034,-8.910094889,-8.573488739,-8.655607726,-10.27164622,-9.638272164,,,,,-2.245009414,-1.701785544,,,-2.884430091,-2.608618999,,,,
[*]CC([*])c1ccncc1,-8.568636236,-7.946921557,-5.744727495,-5.221125528,-8.030118356,-7.366531544,,,,-6.063989204,-10.85387196,-9.480172006,-8.899629455,-8.906578315,-10.88605665,-10.07572071,,,,-8.175223538,-2.285235744,-1.533250456,-3.15490196,-3.685452356,-2.85593822,-2.709189252,-1.639507429,-1.11622761,-2.346919821,-2.111323571
[*]CC1CC([*])C(OC(=O)CCCCCCCCCCOc2ccc(-c3ccc(C#N)cc3)cc2)C1OC(=O)CCCCCCCCCCOc1ccc(-c2ccc(C#N)cc2)cc1,,,,,,,,,-6.040481623,,,,,,,,,,-8.752026734,,,,,,,,,,-2.71097189,
[*]CC1CC([*])OC(CCC)O1,,,,,-6.744727495,,,,,,,,,,,,,,,,,,,,,,,,,
[*]CC1CC([*])OCO1,,,,,,,,,,,,,-10.03151705,-9.795880017,-11.74472749,-11.61978876,,,,,,,,,,,,,,
[*]CCC(F)(Cl)C([*])(F)F,,,,,,,,,,,,-10.21681131,,-9.274088368,-11.21467016,-10.81815641,,,,,,,,,,,,,,
[*]CCC(F)(F)C([*])(F)F,,,,,,,,,,,,-9.70333481,,-9.249491605,-10.73992861,-10.27408837,,,,,,,,,,,,,,
[*]CCC1C(=O)N(c2ccc(N(C)C)cc2)C(=O)C1[*],,,,,,,-6.804100348,,,,,,,,,,-8.278189385,,,,,,,,,,-1.473729388,,,
[*]CCC1CC([*])C2C1C([Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C)C2[Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C,,,,,,,,,,,-7.66756154,-7.075720714,-7.337242168,-7.522878745,-8.124938737,-7.657577319,,,,,,,,,,,,,,
[*]CCCC1(C)CCN(C(=O)CCCC(=O)N2CCC([*])(C)CC2)CC1,,,,,,,,,,-6.548213564,,,,,,,,,,-8.690369833,,,,,,,,,,-2.142164556
[*]CCCCC(=O)NCCCCCCNC([*])=O,,-9.756961951,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[*]CCCCC(=O)Nc1ccc(C(=O)OCCCCCCCCCOC(=O)c2ccc(NC([*])=O)cc2)cc1,,,,,,,,,,-6.277366077,,,,,,,,,,-8.692503962,,,,,,,,,,-2.414573339
[*]CCCCC(=O)OCC(CCl)(CCl)COC([*])=O,,,,,,,-6.605548319,,,,,,,,,,-8.603800653,,,,,,,,,,-1.998250672,,,
[*]CCCCC(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)COC([*])=O,,,,,,,,,,-6.211831629,,,,,,,,,,-8.614393726,,,,,,,,,,-2.401966394
[*]CCCCC(=O)OCCCCCCCCCCCCCCCCCCCCCCOC([*])=O,,,,,,,,,,-5.623423043,,,,,,,,,,-8.112945622,,,,,,,,,,-2.489558616
[*]CCCCC(=O)Oc1ccc(C=Nc2ccc(N=Cc3ccc(OC([*])=O)cc3)cc2)cc1,,,,,,,,,,-5.759450752,,,,,,,,,,-8.382999659,,,,,,,,,,-2.623089968
[*]CCCCCC(=O)OCCCCCCOC([*])=O,,,,,,,,,,-5.725842151,,,,,,,,,,-7.294136288,,,,,,,,,,-1.568008121
[*]CCCCCC([*])CCCCCCCCCC,,,,,,,-5.754487332,,,,,,,,,,-7.705533774,,,,,,,,,,-1.951660839,,,
[*]CCCCCCC(=O)SCCCCSC([*])=O,,,,,,,,,-5.928117993,,,,,,,,,,-8.787812396,,,,,,,,,,-2.860908708,
[*]CCCCCCCCC(=O)NCCCCCCCCCNC(=O)C(=O)NCCCCCCCCCNC([*])=O,,,,,,,,,,-6.112945622,,,,,,,,,,-8.607303047,,,,,,,,,,-2.494580978
[*]CCCCCCCCC(=O)NCCCOCCOCCOCCCNC([*])=O,,,,,,,,-5.906578315,,,,,,,,,,-7.380906669,,,,,,,,,,-1.474268358,,
[*]CCCCCCCCC(=O)NCCNC(=O)C(=O)NCCNC([*])=O,,,,,,,,-6.66756154,,,,,,,,,,-7.57024772,,,,,,,,,,-0.902096149,,
[*]CCCCCCCCC(=O)OCC#CC(C#CCOC([*])=O)=Cc1ccc(C#Cc2ccccc2)cc1,,,,,,,,,-6.448550002,,,,,,,,,,-9.011441043,,,,,,,,,,-2.563007102,
[*]CCCCCCCCC(=O)OCCOC(=O)c1ccc(C(=O)OCCOC([*])=O)cc1,,,,,,,,-6.304518324,,,,,,,,,,,,,,,,,,,,,,
