SN,Polymer_SMILES,Solvent_SMILES,Activities,logD,liquid_density_solvent,MW_rdkit,log10MV
0,CC(=CC[*])C[*],Brc1ccccc1,1,-6.223298816,1.487,157.01,2.023616345
1,CC(=CC[*])C[*],C1CCCCC1,1,-5.649751982,0.773,84.162,2.036936553
2,CC(=CC[*])C[*],C=CCCC,1,-6.812479279,0.635,70.135,2.043161076
3,CC(=CC[*])C[*],CC(=O)CC(C)C,1,-6.503070352,0.796,100.161,2.099785584
4,CC(=CC[*])C[*],CC(=O)OCCC(C)C,1,-6.565431096,0.876,130.187,2.172063513
5,CC(=CC[*])C[*],CC(C)(C)O,1,-6.882728704,0.8,74.123,1.966863001
6,CC(=CC[*])C[*],CC(C)=O,1,-6.478432869,0.784,58.08,1.869710545
7,CC(=CC[*])C[*],CC(C)CC(C)(C)C,1,-6.387216143,0.69,114.232,2.21893869
8,CC(=CC[*])C[*],CC(C)O,1,-7.804100348,0.783,60.096,1.885083804
9,CC(=CC[*])C[*],CCC(C)(C)O,1,-6.752026734,0.805,88.15,2.039426436
10,CC(=CC[*])C[*],CCC(C)=O,1,-6.063572378,0.799,72.107,1.955430648
11,CC(=CC[*])C[*],CCC(CC)CO,1,-7.099086932,0.829,102.177,2.090798617
12,CC(=CC[*])C[*],CCCC=O,1,-7.602059991,0.797,72.107,1.956519106
13,CC(=CC[*])C[*],CCCCC,0,-6.995678626,0.621,72.151,2.065150755
14,CC(=CC[*])C[*],CCCCC,1,-6.806875402,0.621,72.151,2.065150755
15,CC(=CC[*])C[*],CCCCCC,1,-6.050474731,0.656,86.178,2.118492571
16,CC(=CC[*])C[*],CCCCCCC,1,-5.763768052,0.682,100.205,2.167105018
17,CC(=CC[*])C[*],CCCCCCCC,1,-6.166215625,0.699,114.232,2.213310605
18,CC(=CC[*])C[*],CCCCCCCCC,1,-6.355561411,0.7,128.259,2.26298981
19,CC(=CC[*])C[*],CCCCCCCCCC,1,-6.488116639,0.73,142.286,2.28983931
20,CC(=CC[*])C[*],CCCCCCCCCCCC,1,-6.68613278,0.745,170.34,2.35916037
21,CC(=CC[*])C[*],CCCCCCCCCCCCCC,1,-6.835647144,0.758,198.394,2.417859328
22,CC(=CC[*])C[*],CCCCCCCCCCCCCCCC,1,-7.075720714,0.77,226.448,2.468477764
23,CC(=CC[*])C[*],CCCCCO,1,-7.259637311,0.811,88.15,2.036201462
24,CC(=CC[*])C[*],CCCCO,1,-7.368556231,0.806,74.123,1.963617947
25,CC(=CC[*])C[*],CCCCOC(C)=O,1,-6.37675071,0.876,116.16,2.122552497
26,CC(=CC[*])C[*],CCCO,1,-7.477555766,0.802,60.096,1.874671198
27,CC(=CC[*])C[*],CCCOC(C)=O,1,-5.969394431,0.883,102.133,2.063205385
28,CC(=CC[*])C[*],CCO,1,-7.838631998,0.787,46.069,1.767434053
29,CC(=CC[*])C[*],CCOC(=O)CC(C)=O,1,-6.946921557,1.021,130.143,2.105395072
30,CC(=CC[*])C[*],CCOC(=O)OCC,1,-6.068542129,0.97,118.132,2.085595822
31,CC(=CC[*])C[*],CCOC(C)=O,1,-6.154626367,0.894,88.106,1.993667966
32,CC(=CC[*])C[*],CCc1ccccc1,1,-6.453289157,0.865,106.168,2.088977529
33,CC(=CC[*])C[*],CO,1,-7.838631998,0.787,32.042,1.609744884
34,CC(=CC[*])C[*],COC(=O)CC(C)=O,1,-6.962573502,1.072,116.116,2.034697281
35,CC(=CC[*])C[*],COC(=O)c1ccccc1O,1,-7.086186148,1.175,152.149,2.112231236
36,CC(=CC[*])C[*],COC(C)=O,1,-6.164943898,0.927,74.079,1.902615377
37,CC(=CC[*])C[*],Cc1ccc(O)cc1,1,-8.013228266,1.02,108.14,2.025386193
38,CC(=CC[*])C[*],Cc1cccc(C)c1,1,-6.15739076,0.861,106.168,2.090990485
39,CC(=CC[*])C[*],Cc1ccccc1,1,-5.71965701,0.865,92.141,2.027436814
40,CC(=CC[*])C[*],Cc1ccccc1C,1,-6.539677499,0.876,106.168,2.08348953
41,CC(=CC[*])C[*],ClC(Cl)(Cl)Cl,1,-5.92748575,1.583,153.823,1.987540362
42,CC(=CC[*])C[*],ClC(Cl)=C(Cl)Cl,1,-5.482804102,1.6,165.834,2.015553594
43,CC(=CC[*])C[*],ClC(Cl)C(Cl)Cl,1,-6.463441557,1.6,167.85,2.020801363
44,CC(=CC[*])C[*],ClC(Cl)Cl,1,-6.060480747,1.48,119.378,1.906662583
45,CC(=CC[*])C[*],ClC=C(Cl)Cl,1,-5.328827157,1.458,131.389,1.954801483
46,CC(=CC[*])C[*],ClCC(Cl)Cl,1,-5.829738285,1.435,133.405,1.968320206
47,CC(=CC[*])C[*],ClCCCl,1,-6.179798541,1.246,98.96,1.899941644
48,CC(=CC[*])C[*],Clc1ccccc1,1,-6.003050752,1.101,112.559,2.009592907
49,CC(=CC[*])C[*],Fc1ccccc1,1,-5.970616222,1.019,96.104,1.97456728
50,CC(=CC[*])C[*],Nc1ccccc1,1,-6.982966661,1.018,93.129,1.961337162
51,CC(=CC[*])C[*],O=C1CCCCC1,1,-5.804100348,0.942,98.145,2.017817277
52,CC(=CC[*])C[*],O=Cc1ccccc1,1,-6.749579998,1.04,106.124,2.008780272
53,CC(=CC[*])C[*],O=[N+]([O-])c1ccccc1,1,-6.863279433,1.2,123.111,2.011115613
54,CC(=CC[*])C[*],OCc1ccccc1,1,-7.235077015,1.041,108.14,2.016535636
55,CC(=CC[*])C[*],c1ccc2c(c1)CCCC2,1,-5.801342913,0.967,132.206,2.135824691
56,CC(=CC[*])C[*],c1ccccc1,0,-7.087286941,0.873,78.114,1.951714634
57,CC(=CC[*])C[*],c1ccccc1,1,-6.242328053,0.873,78.114,1.951714634
58,CC(=O)OC([*])CC(COC(=O))C[*],c1ccccc1,0.26040144,-11.4621809,0.873,78.114,1.951714634
59,CC(=O)OC([*])CC(COC(=O))C[*],c1ccccc1,0.381433416,-10.23507702,0.873,78.114,1.951714634
60,CC(=O)OC([*])CC(COC(=O))C[*],c1ccccc1,0.439208854,-9.612610174,0.873,78.114,1.951714634
61,CC(=O)OC([*])CC(COC(=O))C[*],c1ccccc1,0.487643728,-9.128427064,0.873,78.114,1.951714634
62,CC(=O)OC([*])CC(COC(=O))C[*],c1ccccc1,0.556558543,-8.832682665,0.873,78.114,1.951714634
63,CC(=O)OC1OC(OC2C(OC(C)=O)OC(O[*])C(OC(C)=O)C2O)C(OC(C)=O)C(O)C1[*],CC#N,0.06,-9.721246399,0.782,41.053,1.720138146
64,CC(=O)OC1OC(OC2C(OC(C)=O)OC(O[*])C(OC(C)=O)C2O)C(OC(C)=O)C(O)C1[*],CC#N,0.1,-9.537602002,0.782,41.053,1.720138146
65,CC(=O)OC1OC(OC2C(OC(C)=O)OC(O[*])C(OC(C)=O)C2O)C(OC(C)=O)C(O)C1[*],CC#N,0.15,-9.337242168,0.782,41.053,1.720138146
66,CC(=O)OC1OC(OC2C(OC(C)=O)OC(O[*])C(OC(C)=O)C2O)C(OC(C)=O)C(O)C1[*],CC#N,0.2,-9.187086643,0.782,41.053,1.720138146
67,CC(=O)OC1OC(OC2C(OC(C)=O)OC(O[*])C(OC(C)=O)C2O)C(OC(C)=O)C(O)C1[*],CC#N,0.25,-9.13076828,0.782,41.053,1.720138146
68,CC(=O)OC1OC(OC2C(OC(C)=O)OC(O[*])C(OC(C)=O)C2O)C(OC(C)=O)C(O)C1[*],CC(C)=O,0.350851185,-7.037630664,0.784,58.08,1.869710545
69,CC(=O)OC1OC(OC2C(OC(C)=O)OC(O[*])C(OC(C)=O)C2O)C(OC(C)=O)C(O)C1[*],CC(C)=O,0.352968999,-7.030243655,0.784,58.08,1.869710545
70,CC(=O)OC1OC(OC2C(OC(C)=O)OC(O[*])C(OC(C)=O)C2O)C(OC(C)=O)C(O)C1[*],CC(C)=O,0.421797953,-6.802424204,0.784,58.08,1.869710545
71,CC(=O)OC1OC(OC2C(OC(C)=O)OC(O[*])C(OC(C)=O)C2O)C(OC(C)=O)C(O)C1[*],CC(C)=O,0.423562798,-6.684029655,0.784,58.08,1.869710545
72,CC(=O)OC1OC(OC2C(OC(C)=O)OC(O[*])C(OC(C)=O)C2O)C(OC(C)=O)C(O)C1[*],CC(C)=O,0.426739519,-6.728158393,0.784,58.08,1.869710545
73,CC(=O)OC1OC(OC2C(OC(C)=O)OC(O[*])C(OC(C)=O)C2O)C(OC(C)=O)C(O)C1[*],CC(C)=O,0.428504364,-6.769551079,0.784,58.08,1.869710545
74,CC(=O)OC1OC(OC2C(OC(C)=O)OC(O[*])C(OC(C)=O)C2O)C(OC(C)=O)C(O)C1[*],CC(C)=O,0.491332846,-6.552841969,0.784,58.08,1.869710545
75,CC(=O)OC1OC(OC2C(OC(C)=O)OC(O[*])C(OC(C)=O)C2O)C(OC(C)=O)C(O)C1[*],CC(C)=O,0.494156598,-6.420651434,0.784,58.08,1.869710545
76,CC(=O)OC1OC(OC2C(OC(C)=O)OC(O[*])C(OC(C)=O)C2O)C(OC(C)=O)C(O)C1[*],CC(C)=O,0.495921443,-6.614393726,0.784,58.08,1.869710545
77,CC(=O)OC1OC(OC2C(OC(C)=O)OC(O[*])C(OC(C)=O)C2O)C(OC(C)=O)C(O)C1[*],CC(C)=O,0.561220708,-6.394694954,0.784,58.08,1.869710545
78,CC(=O)OC1OC(OC2C(OC(C)=O)OC(O[*])C(OC(C)=O)C2O)C(OC(C)=O)C(O)C1[*],CC(C)=O,0.562279615,-6.414777352,0.784,58.08,1.869710545
79,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CC(C)=O,0.1387036,-9.705533774,0.784,58.08,1.869710545
80,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CC(C)=O,0.30138051,-9.510041521,0.784,58.08,1.869710545
81,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CC(C)=O,0.402931521,-8.829738285,0.784,58.08,1.869710545
82,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CC(C)=O,0.548300543,-8.480172006,0.784,58.08,1.869710545
83,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CC(C)=O,0.63607286,-8.26520017,0.784,58.08,1.869710545
84,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CC(C)=O,0.740561649,-8.173925197,0.784,58.08,1.869710545
85,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CC(C)=O,0.893598485,-8.055517328,0.784,58.08,1.869710545
86,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CC(C)=O,0.969900219,-8.106793247,0.784,58.08,1.869710545
87,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CO,0.024730303,-8.910094889,0.787,32.042,1.609744884
88,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CO,0.148286141,-8.602059991,0.787,32.042,1.609744884
89,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CO,0.298697198,-8.524328812,0.787,32.042,1.609744884
90,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CO,0.43712943,-8.214670165,0.787,32.042,1.609744884
91,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CO,0.584870499,-8.124938737,0.787,32.042,1.609744884
92,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CO,0.789478612,-7.962573502,0.787,32.042,1.609744884
93,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CO,0.896077389,-7.928117993,0.787,32.042,1.609744884
94,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CO,0.957411019,-7.966576245,0.787,32.042,1.609744884
95,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CO,0.999787094,-7.946921557,0.787,32.042,1.609744884
96,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],COC(=O)OC,0.246574238,-9.555955204,1.069,90.078,1.92564103
97,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],COC(=O)OC,0.26691006,-9.350665141,1.069,90.078,1.92564103
98,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],COC(=O)OC,0.337432345,-9.238824187,1.069,90.078,1.92564103
99,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],COC(=O)OC,0.373516314,-9.024568191,1.069,90.078,1.92564103
100,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],COC(=O)OC,0.496833223,-8.649751982,1.069,90.078,1.92564103
101,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],COC(=O)OC,0.519946562,-8.764471553,1.069,90.078,1.92564103
102,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],COC(=O)OC,0.653919603,-8.261219442,1.069,90.078,1.92564103
103,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],COC(=O)OC,0.756051356,-8.134896025,1.069,90.078,1.92564103
104,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],COC(=O)OC,0.811529203,-8.165579296,1.069,90.078,1.92564103
105,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],COC(=O)OC,0.847539828,-8.19314197,1.069,90.078,1.92564103
106,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],COC(C)=O,0.294192387,-9.202732459,0.927,74.079,1.902615377
107,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],COC(C)=O,0.36908307,-8.690369833,0.927,74.079,1.902615377
108,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],COC(C)=O,0.637473395,-8.151810883,0.927,74.079,1.902615377
109,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],COC(C)=O,0.798589206,-8.133122186,0.927,74.079,1.902615377
110,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],COC(C)=O,0.833206683,-8.122053048,0.927,74.079,1.902615377
111,CC(C)(C1=CC=C(OC2=CC=C3C(=O)N([*])C(=O)C3=C2)C=C1)C1=CC=C(OC2=CC=C3C(=O)N(C4=CC=CC([*])=C4)C(=O)C3=C2)C=C1,CC(C)=O,1,-10.61978876,0.784,58.08,1.869710545
112,CC(C)(C1=CC=C(OC2=CC=C3C(=O)N([*])C(=O)C3=C2)C=C1)C1=CC=C(OC2=CC=C3C(=O)N(C4=CC=CC([*])=C4)C(=O)C3=C2)C=C1,ClCCl,0.097818475,-10.40782324,1.318,84.933,1.809161054
113,CC(C)(C1=CC=C(OC2=CC=C3C(=O)N([*])C(=O)C3=C2)C=C1)C1=CC=C(OC2=CC=C3C(=O)N(C4=CC=CC([*])=C4)C(=O)C3=C2)C=C1,ClCCl,0.14155349,-10.39361863,1.318,84.933,1.809161054
114,CC(C)(C1=CC=C(OC2=CC=C3C(=O)N([*])C(=O)C3=C2)C=C1)C1=CC=C(OC2=CC=C3C(=O)N(C4=CC=CC([*])=C4)C(=O)C3=C2)C=C1,ClCCl,0.177608683,-10.38510278,1.318,84.933,1.809161054
115,CC(C)(C1=CC=C(OC2=CC=C3C(=O)N([*])C(=O)C3=C2)C=C1)C1=CC=C(OC2=CC=C3C(=O)N(C4=CC=CC([*])=C4)C(=O)C3=C2)C=C1,ClCCl,0.26775293,-9.194499142,1.318,84.933,1.809161054
116,CC(C)(C1=CC=C(OC2=CC=C3C(=O)N([*])C(=O)C3=C2)C=C1)C1=CC=C(OC2=CC=C3C(=O)N(C4=CC=CC([*])=C4)C(=O)C3=C2)C=C1,ClCCl,0.28510005,-9.472370099,1.318,84.933,1.809161054
117,CC(C)(C1=CC=C(OC2=CC=C3C(=O)N([*])C(=O)C3=C2)C=C1)C1=CC=C(OC2=CC=C3C(=O)N(C4=CC=CC([*])=C4)C(=O)C3=C2)C=C1,ClCCl,0.287595208,-10.35556141,1.318,84.933,1.809161054
118,CC(C)(C1=CC=C(OC2=CC=C3C(=O)N([*])C(=O)C3=C2)C=C1)C1=CC=C(OC2=CC=C3C(=O)N(C4=CC=CC([*])=C4)C(=O)C3=C2)C=C1,ClCCl,0.308214239,-10.10072681,1.318,84.933,1.809161054
119,CC(C)(C1=CC=C(OC2=CC=C3C(=O)N([*])C(=O)C3=C2)C=C1)C1=CC=C(OC2=CC=C3C(=O)N(C4=CC=CC([*])=C4)C(=O)C3=C2)C=C1,ClCCl,0.374290715,-9.187755303,1.318,84.933,1.809161054
120,CC(C)(C1=CC=C(OC2=CC=C3C(=O)N([*])C(=O)C3=C2)C=C1)C1=CC=C(OC2=CC=C3C(=O)N(C4=CC=CC([*])=C4)C(=O)C3=C2)C=C1,ClCCl,0.427569713,-9.104025268,1.318,84.933,1.809161054
121,CC(C)(C1=CC=C(OC2=CC=C3C(=O)N([*])C(=O)C3=C2)C=C1)C1=CC=C(OC2=CC=C3C(=O)N(C4=CC=CC([*])=C4)C(=O)C3=C2)C=C1,ClCCl,0.517217323,-9.107348966,1.318,84.933,1.809161054
122,CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.05952,-9.185752404,0.782,41.053,1.720138146
123,CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.062844748,-9.183096161,0.782,41.053,1.720138146
124,CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.06571,-9.232102384,0.782,41.053,1.720138146
125,CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.065825862,-9.222573178,0.782,41.053,1.720138146
126,CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.087644375,-9.054039296,0.782,41.053,1.720138146
127,CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.09124,-9.066512712,0.782,41.053,1.720138146
128,CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.120766638,-9.159893906,0.782,41.053,1.720138146
129,CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.126879146,-9.118615343,0.782,41.053,1.720138146
130,CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.12896,-9.185752404,0.782,41.053,1.720138146
131,CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.13631,-9.127843727,0.782,41.053,1.720138146
132,CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.169429384,-9.226945307,0.782,41.053,1.720138146
133,CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.18408,-9.220403509,0.782,41.053,1.720138146
134,CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.215753536,-9.004803708,0.782,41.053,1.720138146
135,CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.222935979,-9.095284455,0.782,41.053,1.720138146
136,CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.22605,-9.07211659,0.782,41.053,1.720138146
137,CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.23494,-8.982966661,0.782,41.053,1.720138146
138,CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.2421,-9.1123827,0.782,41.053,1.720138146
139,CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.277436656,-9.041436117,0.782,41.053,1.720138146
140,CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.29761,-9.060480747,0.782,41.053,1.720138146
141,CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.301174931,-9.007888512,0.782,41.053,1.720138146
142,CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.31985,-9.004364805,0.782,41.053,1.720138146
143,CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.320423352,-9.129011186,0.782,41.053,1.720138146
144,CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.33764,-9.127843727,0.782,41.053,1.720138146
145,CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.338706042,-9.010550182,0.782,41.053,1.720138146
146,CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.35679,-8.987162775,0.782,41.053,1.720138146
147,CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.363978745,-9.132979524,0.782,41.053,1.720138146
148,CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.3682,-9.004364805,0.782,41.053,1.720138146
149,CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.3771,-9.127843727,0.782,41.053,1.720138146
150,CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.38174,-9.1123827,0.782,41.053,1.720138146
151,CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.4475,-9.201349355,0.782,41.053,1.720138146
152,CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.448778251,-9.214670165,0.782,41.053,1.720138146
153,CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.50107,-9.15490196,0.782,41.053,1.720138146
154,CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.510994533,-9.142667504,0.782,41.053,1.720138146
155,CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.5239,-9.122053048,0.782,41.053,1.720138146
156,CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,ClC(Cl)Cl,1,-6.187086643,1.48,119.378,1.906662583
157,CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,ClCCCl,1,-6.259637311,1.246,98.96,1.899941644
158,CC(C)OC(=O)C([*])C[*],c1ccccc1,0,-7.698970004,0.873,78.114,1.951714634
159,CC([*])=C([*])C(C)C,CCO,1,-5.442492798,0.787,46.069,1.767434053
160,CC1(C)CC(C)(C2=CC=C(N3C(=O)C4=CC=C(C(=O)C5=CC=C6C(=O)N([*])C(=O)C6=C5)C=C4C3=O)C=C2)C2=CC=C([*])C=C21,CCCCCCO,0.15259,-12.05948352,0.816,102.177,2.097662989
161,CC1(C)CC(C)(C2=CC=C(N3C(=O)C4=CC=C(C(=O)C5=CC=C6C(=O)N([*])C(=O)C6=C5)C=C4C3=O)C=C2)C2=CC=C([*])C=C21,CCCCCCO,0.25288,-11.84466396,0.816,102.177,2.097662989
162,CC1(C)CC(C)(C2=CC=C(N3C(=O)C4=CC=C(C(=O)C5=CC=C6C(=O)N([*])C(=O)C6=C5)C=C4C3=O)C=C2)C2=CC=C([*])C=C21,CCCCCCO,0.35364,-11.65364703,0.816,102.177,2.097662989
163,CC1(C)CC(C)(C2=CC=C(N3C(=O)C4=CC=C(C(=O)C5=CC=C6C(=O)N([*])C(=O)C6=C5)C=C4C3=O)C=C2)C2=CC=C([*])C=C21,CCCCCCO,0.45158,-11.48148606,0.816,102.177,2.097662989
164,CC1(C)CC(C)(C2=CC=C(N3C(=O)C4=CC=C(C(=O)C5=CC=C6C(=O)N([*])C(=O)C6=C5)C=C4C3=O)C=C2)C2=CC=C([*])C=C21,CCCCCCO,0.55093,-11.4436975,0.816,102.177,2.097662989
165,CC1(C)CC(C)(C2=CC=C(N3C(=O)C4=CC=C(C(=O)C5=CC=C6C(=O)N([*])C(=O)C6=C5)C=C4C3=O)C=C2)C2=CC=C([*])C=C21,CCCCCCO,0.65028,-11.26760624,0.816,102.177,2.097662989
166,CC1(C)CC(C)(C2=CC=C(N3C(=O)C4=CC=C(C(=O)C5=CC=C6C(=O)N([*])C(=O)C6=C5)C=C4C3=O)C=C2)C2=CC=C([*])C=C21,CCCCCCO,0.75713,-11.21609642,0.816,102.177,2.097662989
167,CC1(C)CC(C)(C2=CC=C(N3C(=O)C4=CC=C(C(=O)C5=CC=C6C(=O)N([*])C(=O)C6=C5)C=C4C3=O)C=C2)C2=CC=C([*])C=C21,CCCCCCO,0.85508,-11.11350927,0.816,102.177,2.097662989
168,CC1(C)CC(C)(C2=CC=C(N3C(=O)C4=CC=C(C(=O)C5=CC=C6C(=O)N([*])C(=O)C6=C5)C=C4C3=O)C=C2)C2=CC=C([*])C=C21,CCCCCO,0.15494,-11.87614836,0.811,88.15,2.036201462
169,CC1(C)CC(C)(C2=CC=C(N3C(=O)C4=CC=C(C(=O)C5=CC=C6C(=O)N([*])C(=O)C6=C5)C=C4C3=O)C=C2)C2=CC=C([*])C=C21,CCCCCO,0.25054,-11.68613278,0.811,88.15,2.036201462
170,CC1(C)CC(C)(C2=CC=C(N3C(=O)C4=CC=C(C(=O)C5=CC=C6C(=O)N([*])C(=O)C6=C5)C=C4C3=O)C=C2)C2=CC=C([*])C=C21,CCCCCO,0.34848,-11.50031292,0.811,88.15,2.036201462
171,CC1(C)CC(C)(C2=CC=C(N3C(=O)C4=CC=C(C(=O)C5=CC=C6C(=O)N([*])C(=O)C6=C5)C=C4C3=O)C=C2)C2=CC=C([*])C=C21,CCCCCO,0.45393,-11.28567024,0.811,88.15,2.036201462
172,CC1(C)CC(C)(C2=CC=C(N3C(=O)C4=CC=C(C(=O)C5=CC=C6C(=O)N([*])C(=O)C6=C5)C=C4C3=O)C=C2)C2=CC=C([*])C=C21,CCCCCO,0.55468,-11.1877553,0.811,88.15,2.036201462
173,CC1(C)CC(C)(C2=CC=C(N3C(=O)C4=CC=C(C(=O)C5=CC=C6C(=O)N([*])C(=O)C6=C5)C=C4C3=O)C=C2)C2=CC=C([*])C=C21,CCCCCO,0.65403,-11.06651271,0.811,88.15,2.036201462
174,CC1(C)CC(C)(C2=CC=C(N3C(=O)C4=CC=C(C(=O)C5=CC=C6C(=O)N([*])C(=O)C6=C5)C=C4C3=O)C=C2)C2=CC=C([*])C=C21,CCCCCO,0.74823,-10.98296666,0.811,88.15,2.036201462
175,CC1(C)CC(C)(C2=CC=C(N3C(=O)C4=CC=C(C(=O)C5=CC=C6C(=O)N([*])C(=O)C6=C5)C=C4C3=O)C=C2)C2=CC=C([*])C=C21,CCCCCO,0.85648,-11.03338901,0.811,88.15,2.036201462
176,CC1(C)CC(C)(C2=CC=C(N3C(=O)C4=CC=C(C(=O)C5=CC=C6C(=O)N([*])C(=O)C6=C5)C=C4C3=O)C=C2)C2=CC=C([*])C=C21,CCCCO,0.15119,-11.50445566,0.806,74.123,1.963617947
