,PID,smiles1,value_COE
624,P040305,[*]CC([*])(C)C(=O)Oc1ccc(C)cc1,84.5140811
4065,P340103,[*]CC([*])(C)C(=O)Oc1cccc(C)c1C,84.5140811
242,P030014,[*]CC([*])c1ccccn1,84.96422188
4064,P340102,[*]CC([*])(C)C(=O)Oc1c(C)cccc1C,85.41555825
504,P040143,[*]CC([*])(C)C(=O)Oc1cccc(C)c1,86.32181778
790,P070074,[*]Oc1ccc([*])cc1,86.32181778
5621,P372454,[*]CCOc1ccc(OC(=O)c2ccc(C(=O)Oc3ccc(O[*])cc3)c(OCCCCC)c2)cc1,86.32181778
801,P070090,[*]CCCCOCO[*],86.32181778
4953,P370496,[*]CCOCCOCCOCCOC(=O)c1ccc(-c2ccc(C(=O)O[*])cc2)cc1,86.32181778
750,P070022,[*]CC(C)(C)O[*],86.32181778
748,P070020,[*]CC(C=C)O[*],86.32181778
2063,P090610,[*]OC(C)COC(=O)c1ccc(C([*])=O)cc1,86.32181778
1793,P090288,[*]OC(C)COC(=O)c1cccc(C([*])=O)c1,86.32181778
4771,P370285,[*]CCSSCCSSCCOCO[*],86.32181778
996,P070394,[*]CC1CC([*])OC(CCC)O1,86.32181778
468,P040072,[*]CC([*])(C)C(=O)Oc1ccccc1C,86.32181778
406,P040003,[*]CC([*])C(=O)OCC,86.32181778
600,P040269,[*]CC([*])(CC(=O)OC1CCCCC1)C(=O)OC1CCCCC1,86.32181778
217,P020189,[*]CC([*])c1ccc2ccccc2c1,86.32181778
1109,P070533,[*]CCOCCOCCOC(=O)c1ccc(-c2ccc(C(=O)O[*])cc2)cc1,86.32181778
3610,P320020,[*]CC([*])(C)c1ccc2ccccc2c1,86.32181778
2163,P100025,[*]CCCCCCCCCCCC(=O)N[*],86.32181778
7009,P390245,[*]CC(C)(CC)COC(=O)c1ccc(C(=O)O[*])cc1,86.32181778
633,P040321,[*]CCC(C(=O)OCC)C([*])C(=O)OCC,86.32181778
1142,P070567,[*]CCOCCOC(=O)c1ccc(-c2ccc(C(=O)O[*])cc2)cc1,86.32181778
2160,P100022,[*]CCCCCCCCCC(=O)N[*],86.32181778
617,P040292,[*]CC([*])(C)C(=O)Oc1ccc(C(C)(C)C)cc1,86.32181778
2055,P090598,[*]OC(C)COC(=O)c1ccccc1C([*])=O,86.32181778
2040,P090577,[*]Oc1c(C)cc(C(C)(C)c2cc(C)c(OC(=O)c3ccc(C([*])=O)cc3)c(C)c2)cc1C,86.32181778
604,P040273,[*]CC([*])(CC(=O)Oc1ccccc1)C(=O)Oc1ccccc1,86.77674093
9021,P432244,[*]c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(N4C(=O)c5ccc(C(C)(C)CCCCCCCCC([*])(C)C)cc5C4=O)cc3)cc1)C2=O,87.23285968
775,P070056,[*]CCCO[*],87.23285968
105,P020032,[*]CC([*])c1ccccc1Cl,87.23285968
601,P040270,[*]CC([*])(CC(=O)OCC1CCCCC1)C(=O)OCC1CCCCC1,87.23285968
250,P030024,[*]CC([*])OC(C)=O,87.23285968
467,P040071,[*]CC([*])(C)C(=O)Oc1ccccc1,88.14868395
448,P040048,[*]CC([*])(C)C(=O)OC,88.14868395
1696,P090176,[*]OC(C)C([*])=O,88.14868395
2003,P090530,[*]Oc1c(C)cc(C(C)(C)c2cc(C)c(OC(=O)c3cccc(C([*])=O)c3)c(C)c2)cc1C,89.06929059
4289,P342241,[*]CC([*])(C)C(=O)OCC(O)C1CC(C)(c2ccccc2)C1,89.06929059
740,P070012,[*]OC([*])CCC(=O)OC,89.53138731
686,P050020,[*]CC([*])Br,90.924851
1625,P090089,[*]CCCCCC(=O)O[*],91.76609418
4106,P340159,[*]CC([*])(C)C(=O)OCCCCl,91.85980476
618,P040294,[*]CC([*])(CC(=O)OC)C(=O)OC,91.85980476
567,P040220,[*]CC([*])C(=O)NC(C)(C)C,93.36567811
1573,P090009,[*]CCOC(=O)CCCCC(=O)O[*],93.7440594
1615,P090062,[*]Oc1ccc(C(C)(C)c2ccc(OC(=O)c3ccc(C([*])=O)cc3)c(C)c2)cc1C,93.7440594
673,P050002,[*]CC([*])Cl,94.69336027
1658,P090134,[*]CCCOC(=O)c1ccc(C(=O)O[*])cc1,95.64744352
3259,P150011,[*]Oc1ccc(C(C)(C)c2ccc(OC([*])=O)cc2)cc1,95.64744352
826,P070141,[*]OC(C)COCC(C)OC(=O)c1ccccc1C([*])=O,95.64744352
3773,P330092,[*]C=C([*])c1ccc(C#C)cc1,95.64744352
802,P070091,[*]CCCCCOCO[*],95.64744352
741,P070013,[*]CCO[*],95.64744352
10125,P450064,[*]CCCOC(=O)O[*],95.64744352
4290,P342242,[*]CC([*])(C)C(=O)OCC(=O)c1ccccc1,95.64744352
4358,P342414,[*]CC([*])(C)C(=O)OCC(=O)N1CCCC1,95.64744352
2153,P100014,[*]CCCCCCCC(=O)N[*],95.64744352
2158,P100019,[*]CCCCCCCCC(=O)N[*],95.64744352
7282,P392180,[*]c1ccc(OC(=O)c2ccc(C(=O)Oc3ccc(C4([*])OC(=O)c5ccccc54)cc3C)cc2)c(C)c1,96.60630914
4005,P340037,[*]CC([*])C(=O)NC(C)(C)CC(C)=O,96.60630914
8581,P430251,[*]C(=O)Nc1ccc(NC(=O)c2ccc(N3C(=O)c4ccc([*])cc4C3=O)cc2)cc1,96.60630914
2002,P090529,[*]Oc1ccc(C(C)(C)c2ccc(OC(=O)c3cccc(C([*])=O)c3)c(C)c2)cc1C,98.5383875
1600,P090039,[*]Oc1ccc(C(C)(C)c2ccc(OC(=O)c3ccc(C([*])=O)cc3)cc2)cc1,99.51160024
4104,P340157,[*]CC([*])C(=O)OCCN(CC)CC,100.4895954
2144,P100005,[*]CCCCCCNC(=O)CCCCC(=O)N[*],100.4895954
1592,P090029,[*]CCCCOC(=O)c1ccc(C(=O)O[*])cc1,100.4895954
800,P070089,[*]CCOCO[*],100.9803863
405,P040002,[*]CC([*])C(=O)OC,102.1631626
2150,P100011,[*]CCCCCCC(=O)N[*],102.4599327
491,P040116,[*]CC([*])(Cl)C(=O)OC,102.4599327
1617,P090065,[*]c1ccc(OC(=O)c2ccc(C(=O)Oc3ccc(C4([*])OC(=O)c5ccccc54)cc3)cc2)cc1,102.7571332
1417,P080012,[*]CCCS[*],103.4522749
3163,P130333,[*]C(=O)Nc1ccc(S(=O)(=O)c2ccc(NC(=O)c3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3)cc2)cc1,103.4522749
672,P050001,[*]CC([*])F,103.9502394
1239,P070678,[*]Oc1ccc(C(=O)c2cccc(C(=O)c3ccc([*])cc3)c2)cc1,105.4513065
1602,P090041,[*]Oc1ccc(C(C)(C)c2ccc(OC(=O)c3cccc(C([*])=O)c3)cc2)cc1,105.7528111
4023,P340058,[*]CC([*])(C)C(=O)NC(C)C,106.2562754
3624,P320051,[*]CC([*])(OC(C)=O)c1ccc(OC(=O)CC)cc1,106.4579958
3625,P320052,[*]CC([*])(OC(C)=O)c1ccc(OC(=O)CCC)cc1,106.4579958
7927,P400385,[*]CCCCCCCCCCCCNC(=O)c1cccc(C(=O)N[*])c1,106.4579958
1590,P090027,[*]CCOC(=O)c1ccc(C(=O)O[*])cc1,106.5084558
4099,P340152,[*]CC([*])C(=O)NCC(C)C,106.6599076
565,P040218,[*]CC([*])C(=O)NCCCC,106.6599076
9020,P432243,[*]c1ccc2c(c1)C(=O)N(c1ccc(Cc3ccc(N4C(=O)c5ccc(C(C)(C)CCCCC([*])(C)C)cc5C4=O)cc3)cc1)C2=O,106.8620106
4103,P340156,[*]CC([*])C(=O)NCCO,107.2667906
3622,P320049,[*]CC([*])(OC(C)=O)c1ccc(OC(C)=O)cc1,107.3681052
3135,P130251,[*]C(=O)Nc1ccc(Cc2ccc(NC(=O)c3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3)cc2)cc1,107.4694675
3623,P320050,[*]CC([*])(OC(C)=O)c1ccc(OC(=O)OC)cc1,107.8753953
3168,P130339,[*]c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(N4C(=O)c5ccc(C(C)(C)CCCCC([*])(C)C)cc5C4=O)cc3)cc1)C2=O,108.2820882
731,P070001,[*]CO[*],108.4857216
496,P040128,[*]CC([*])C(=O)NC(C)C,108.8935623
4026,P340061,[*]CC([*])C(=O)N(CC)CC,109.5067581
675,P050004,[*]CC([*])(Cl)Cl,109.5067581
8835,P432029,[*]c1ccc2c(c1)C(=O)N(c1ccc(C(c3ccc(C)c(N4C(=O)c5ccc(C([*])(C(F)(F)F)C(F)(F)F)cc5C4=O)c3)(C(F)(F)F)C(F)(F)F)cc1C)C2=O,110.5325769
495,P040127,[*]CC([*])C(N)=O,110.7897789
8580,P430250,[*]CC(=O)Nc1ccc(Oc2cccc(Oc3ccc(NC(=O)c4ccc5c(c4)C(=O)N([*])C5=O)cc3)c2)cc1,112.5985617
8579,P430249,[*]CC(=O)Nc1ccc(Oc2ccc(Oc3ccc(NC(=O)c4ccc5c(c4)C(=O)N([*])C5=O)cc3)cc2)cc1,112.5985617
4357,P342413,[*]CC([*])(C)C(=O)OCC(=O)N1CCOCC1,112.5985617
2394,P100302,[*]CCCCCCCCCCNC(=O)c1cccc(C(=O)N[*])c1,112.5985617
3633,P320060,[*]CC(CC([*])(C#N)C#N)c1ccc(CCl)cc1,113.6908615
4018,P340053,[*]CC([*])C(=O)NCC,114.7884338
3629,P320056,[*]CC(CC([*])(C#N)C#N)(OC(C)=O)c1ccc(OC(=O)CCC)cc1,114.9456603
3627,P320054,[*]CC(CC([*])(C#N)C#N)(OC(C)=O)c1ccc(OC(=O)OC)cc1,115.4705256
223,P020195,[*]CC([*])c1ccc(O)cc1,115.7334067
3628,P320055,[*]CC(CC([*])(C#N)C#N)(OC(C)=O)c1ccc(OC(=O)CC)cc1,116.2073457
