SN,smiles,eib
51,[*]c1ccc2c(c1)Cc1cc(-n3c(=O)c4cc5c(=O)n([*])c(=O)c5cc4c3=O)ccc1-2,0.5562084820782021
52,[*]c1ccc(C(=O)Nc2ccc(-n3c(=O)c4cc5c(=O)n([*])c(=O)c5cc4c3=O)cc2)cc1,0.5566997861957748
53,[*]CC(=O)C(=S)C(C=C1)=CC=C1[*],0.5572354731225193
54,[*]c1ccc(C(C=CC)c2ccc(-n3c(=O)c4cc5c(=O)n([*])c(=O)c5cc4c3=O)cc2)cc1,0.5594770493430108
55,[*]SC([*])=S,0.5601022264282111
56,C(F)(F)C(F)(F)C(S1)=CC=C1C(=S),0.5616458482452868
57,[*]n1nc(-n2c(=O)c3cc4c(=O)n([*])c(=O)c4cc3c2=O)c2ccccc2c1=O,0.5657398454610929
58,[*]NC(=O)C(S1)=CC=C1C(=S)[*],0.5664509293760585
59,[*]C(C=C1)=CC=C1C(=S)C(S2)=CC=C2C(S3)=CC=C3[*],0.5683952317773624
60,NC(=S)C(=C1)SC(=C1)C(=S),0.5712652204662829
61,[*]c1ccc(Oc2ccc(-n3c(=O)c4cc5c(=O)n([*])c(=O)c5cc4c3=O)cc2)cc1,0.5734986626293588
62,[*]c1ccc(Oc2ccc(-n3c(=O)c4cc5c(=O)n([*])c(=O)c5cc4c3=O)cc2Br)c(Br)c1,0.5758164532794479
63,[*]NC(C=C1)=CC=C1C(=O)C(=S)[*],0.5763947572887096
64,[*]c1cccc2c(-n3c(=O)c4cc5c(=O)n([*])c(=O)c5cc4c3=O)cccc12,0.583447170980965
65,[*]c1ccc(-c2ccc(-c3ccc(-n4c(=O)c5cc6c(=O)n([*])c(=O)c6cc5c4=O)cc3)cc2)cc1,0.5890814532423065
66,[*]NC(=S)NC(=S)[*],0.589527656564607
67,[*]NC(=O)C(=S)C(C=C1)=CC=C1[*],0.5939583974158955
68,[*]CCCCCCn1c(=O)c2cc3c(=O)n([*])c(=O)c3cc2c1=O,0.5954276518742483
69,[*]c1ccc(C(C)c2ccc(-n3c(=O)c4cc5c(=O)n([*])c(=O)c5cc4c3=O)cc2)cc1,0.5981583092950125
70,[*]C(=O)C(C=C1)=CC=C1C(C=C2)=CC=C2C(=S)[*],0.5989344340246294
71,[*]C(C=C1)=CC=C1C(=S)OC(=S)[*],0.6006677486807561
72,[*]c1ccc(-c2ccc(-n3c(=O)c4cc5c(=O)n([*])c(=O)c5cc4c3=O)cc2)cc1,0.6025035559030654
73,[*]C(S1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3C(=S)[*],0.6034270642282005
74,[*]CNC(=O)C(=S)[*],0.6159738910258411
75,[*]c1ccc(Oc2cccc(-n3c(=O)c4cc5c(=O)n([*])c(=O)c5cc4c3=O)c2)cc1,0.6163624576467122
76,[*]C(=O)C(C=C1)=CC=C1C(=S)C(S2)=CC=C2[*],0.6204333937624114
77,[*]CC([*])C(=O)OCCOC(=O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,0.6257426604956073
78,[*]c1ccc2c(c1)nc1c3cc4c(=O)n5c6cc([*])ccc6nc5c4cc3c(=O)n21,0.6307240848883442
79,[*]NC(=S)C(=O)O[*],0.6323277997053949
80,[*]C(=O)C(S1)=CC=C1C(=S)C(S2)=CC=C2[*],0.6361310936197904
81,C(F)(F)NC(F)(F)C(=S),0.6437185009895625
82,[*]c1ccc(Sc2ccc(-n3c(=O)c4cc5c(=O)n([*])c(=O)c5cc4c3=O)cc2)cc1,0.6507406450739399
83,[*]c1ccc(Nc2cccc(-n3c(=O)c4cc5c(=O)n([*])c(=O)c5cc4c3=O)c2)cc1,0.6540982302932061
84,[*]NC(=S)OC(=S)[*],0.6556322054603552
85,[*]c1cc(-c2nc3ccccc3s2)cc(-n2c(=O)c3cc4c(=O)n([*])c(=O)c4cc3c2=O)c1,0.6575374558391585
86,[*]CCOC(=O)C=CC(=O)O[*],0.6637390761605646
87,[*]c1ccc(Oc2cccc(Oc3ccc(-n4c(=O)c5cc6c(=O)n([*])c(=O)c6cc5c4=O)cc3)c2)cc1,0.6641981264543784
88,[*]c1ccc(-c2nc3cc(-n4c(=O)c5cc6c(=O)n([*])c(=O)c6cc5c4=O)ccc3[nH]2)cc1,0.6684092972864617
89,[*]c1ccc(-c2ccc(-n3c(=O)c4cc5c(=O)n([*])c(=O)c5cc4c3=O)c(C)c2)cc1C,0.6808084531474909
90,C(F)(F)C(=S)C(F)(F)O,0.6820779358060305
91,[*]c1ccc(-c2ccc(-n3c(=O)c4cc5c(=O)n([*])c(=O)c5cc4c3=O)cc2OC)c(OC)c1,0.6861986952514778
92,[*]C(=O)NNC(=O)c1cnc([*])cn1,0.7022019093218259
93,[*]C(=O)C(S1)=CC=C1C(=O)C(S2)=CC=C2[*],0.7025345913525292
94,[*]c1ccc(Oc2ccccc2-n2c(=O)c3cc4c(=O)n([*])c(=O)c4cc3c2=O)cc1,0.7136881102548029
95,[*]C(=O)C(S1)=CC=C1C(=S)O[*],0.7148206852185424
96,[*]c1ccc(Cc2ccc(-n3c(=O)c4cc5c(=O)n([*])c(=O)c5cc4c3=O)cc2)cc1,0.7169976150753006
97,[*]c1ccc(-c2cnc3cc4nc([*])cnc4cc3n2)cc1,0.7218205496530214
98,[*]c1ccc(-c2ccc(-n3c(=O)c4cc5c(=O)n([*])c(=O)c5cc4c3=O)cc2C(F)(F)F)c(C(F)(F)F)c1,0.7275369865690982
99,[*]c1ccc(-c2cnc3cc4ncc([*])nc4cc3n2)cc1,0.7286391819220189
100,[*]CC(=O)C(S1)=CC=C1C(=S)[*],0.7486032552820046
101,[*]NC(S1)=CC=C1C(=O)C(=S)[*],0.7501142566616634
102,C(F)(F)C(C=C1)=CC=C1C(F)(F)C(=S),0.7587805434757575
103,[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc(C=Cc3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3)cc1)C2=O,0.7640958466078879
