,composition,load,hardness,category,type
488,ThFe3Al2,0.98,5.75,exp,only_exp
489,ThMn3Al2,0.98,5.51,exp,only_exp
490,ThPt5,0.98,3.85,exp,only_exp
491,ThRe2,0.98,6.28,exp,only_exp
492,Ti0.08W0.92B4,0.49,51.00800966,exp,only_exp
493,Ti0.08W0.92B4,0.98,39.88907019,exp,only_exp
494,Ti0.08W0.92B4,1.96,36.18272501,exp,only_exp
495,Ti0.08W0.92B4,2.94,34.42381695,exp,only_exp
496,Ti0.08W0.92B4,4.9,32.50781335,exp,only_exp
497,Ti0.1W0.9B4,0.49,44.41352722,exp,only_exp
498,Ti0.1W0.9B4,0.98,37.28359442,exp,only_exp
499,Ti0.1W0.9B4,1.96,34.01698226,exp,only_exp
500,Ti0.1W0.9B4,2.94,32.2894837,exp,only_exp
501,Ti0.1W0.9B4,4.9,30.12220409,exp,only_exp
502,Ti0.25B3.5C0.75,4.9,39.55,exp,only_exp
503,Ti0.3W0.7B4,0.49,38.24093585,exp,only_exp
504,Ti0.3W0.7B4,0.98,34.40897668,exp,only_exp
505,Ti0.3W0.7B4,1.96,32.4615876,exp,only_exp
506,Ti0.3W0.7B4,2.94,30.73404101,exp,only_exp
507,Ti0.3W0.7B4,4.9,29.54050397,exp,only_exp
508,Ti0.5Nb0.5,0.049,1.47,exp,only_exp
509,Ti0.5Nb0.5N,0.98,15.5,exp,only_exp
510,Ti0.75Pt0.25,9.8,1.46,exp,only_exp
511,Ti0.815Sn0.185,2.94,2.06,exp,only_exp
512,Ti0.89Al0.11 ,0.98,2.04,exp,only_exp
513,Ti0.89V0.11,2.94,1.92,exp,only_exp
514,Ti0.9Si0.1,2.94,3.01,exp,only_exp
515,Ti3Al,0.98,2.98,exp,only_exp
516,Ti3GeC2 ,9.8,2.2,exp,only_exp
517,Ti3SiC2 ,9.8,3,exp,only_exp
518,Ti5Ge3,0.98,9.51,exp,only_exp
519,TiB,0.29,27.46,exp,only_exp
520,TiB2,0.29,33.05,exp,only_exp
521,TiB2,4.9,33,exp,only_exp
522,TiB2,9.8,26,exp,only_exp
523,TiB50,0.49,35.7,exp,only_exp
524,TiC,0.98,26,exp,only_exp
525,TiGe2,0.98,3.01,exp,only_exp
526,TiMn2,0.98,5.82,exp,only_exp
527,TiN,0.98,18,exp,only_exp
528,TiRu,0.59,7.85,exp,only_exp
529,TiRu0.4Ni0.6,0.59,7.26,exp,only_exp
530,TmB12,0.49,37.27,exp,only_exp
531,UCo5,0.49,5.88,exp,only_exp
532,UV2Al20 ,0.49,3.14,exp,only_exp
533,V0.25Pt0.75 ,9.8,1.95,exp,only_exp
534,V0.25Re0.75,0.98,19.91,exp,only_exp
535,V0.8Re0.2 ,0.98,5.1,exp,only_exp
536,V1.16Re2.84 ,0.98,21.2,exp,only_exp
537,V11Ge8,0.98,5.2,exp,only_exp
538,V17Ge31,0.98,7.81,exp,only_exp
539,V3B2,0.49,22.36,exp,only_exp
540,V3B4,0.49,23.05,exp,only_exp
541,V3Ga,0.98,9.02,exp,only_exp
542,V3Ge,0.98,7.9,exp,only_exp
543,V3Si,0.49,8.9,exp,only_exp
544,V5Ge3,0.98,7,exp,only_exp
545,V6Ga5,0.98,9.81,exp,only_exp
546,VB2 ,0.29,27.46,exp,only_exp
547,VB50,0.49,35.4,exp,only_exp
548,VC,0.49,23.1,exp,only_exp
549,VO0.33,0.98,9.81,exp,only_exp
550,W0.35Os0.65 ,0.98,7.72667,exp,only_exp
551,W0.5Dy0.5B11.6,4.9,25.24878049,exp,only_exp
552,W0.5Dy0.5B11.6,0.49,37.67804878,exp,only_exp
553,W0.5Dy0.5B11.6,0.98,31.32682927,exp,only_exp
554,W0.5Dy0.5B11.6,1.96,28.76585366,exp,only_exp
555,W0.5Dy0.5B11.6,2.94,28.42439024,exp,only_exp
556,W0.5Er0.5B11.6,4.9,25.86336867,exp,only_exp
557,W0.5Er0.5B11.6,0.49,37.48881037,exp,only_exp
558,W0.5Er0.5B11.6,0.98,32.23949745,exp,only_exp
559,W0.5Er0.5B11.6,1.96,28.74911661,exp,only_exp
560,W0.5Er0.5B11.6,2.94,27.40243424,exp,only_exp
561,W0.5Gd0.5B11.6,4.9,25.62101129,exp,only_exp
562,W0.5Gd0.5B11.6,0.49,35.03436426,exp,only_exp
563,W0.5Gd0.5B11.6,0.98,29.06725577,exp,only_exp
564,W0.5Gd0.5B11.6,1.96,28.5886107,exp,only_exp
565,W0.5Gd0.5B11.6,2.94,27.02503682,exp,only_exp
566,W0.5Ho0.5B11.6,4.9,27.02666667,exp,only_exp
567,W0.5Ho0.5B11.6,0.49,36.82666667,exp,only_exp
568,W0.5Ho0.5B11.6,0.98,33.42666667,exp,only_exp
569,W0.5Ho0.5B11.6,1.96,28.99333333,exp,only_exp
570,W0.5Ho0.5B11.6,2.94,28.09333333,exp,only_exp
571,W0.5Nb0.5B2.1,0.49,36.21106122,exp,only_exp
572,W0.5Nb0.5B2.1,0.98,32.2766464,exp,only_exp
573,W0.5Nb0.5B2.1,1.96,30.21467078,exp,only_exp
574,W0.5Nb0.5B2.1,2.94,27.22830188,exp,only_exp
575,W0.5Nb0.5B2.1,4.9,26.06696989,exp,only_exp
576,W0.5Pt0.5 ,9.8,0.85,exp,only_exp
577,W0.5Sc0.5B11.6,0.49,42.67955647,exp,only_exp
578,W0.5Sc0.5B11.6,0.98,34.73389654,exp,only_exp
579,W0.5Sc0.5B11.6,1.96,32.29983875,exp,only_exp
580,W0.5Sc0.5B11.6,2.94,30.70508709,exp,only_exp
581,W0.5Sc0.5B11.6,4.9,28.15914273,exp,only_exp
582,W0.5Ta0.5B,0.49,42.8,exp,only_exp
583,W0.5Ta0.5B,0.98,34,exp,only_exp
584,W0.5Ta0.5B,4.9,21,exp,only_exp
585,W0.5Ta0.5B2.1,0.49,32.21626605,exp,only_exp
586,W0.5Ta0.5B2.1,0.98,28.5809234,exp,only_exp
587,W0.5Ta0.5B2.1,1.96,27.90509903,exp,only_exp
588,W0.5Ta0.5B2.1,2.94,25.90099987,exp,only_exp
589,W0.5Ta0.5B2.1,4.9,23.66386593,exp,only_exp
590,W0.5Tb0.5B11.6,4.9,24.97814208,exp,only_exp
591,W0.5Tb0.5B11.6,0.49,36.67213115,exp,only_exp
592,W0.5Tb0.5B11.6,0.98,32.32786885,exp,only_exp
593,W0.5Tb0.5B11.6,1.96,28.39344262,exp,only_exp
594,W0.5Tb0.5B11.6,2.94,27.21857923,exp,only_exp
595,W0.5Y0.5B11.6,4.9,28.92852563,exp,only_exp
596,W0.5Y0.5B11.6,0.49,39.96680415,exp,only_exp
597,W0.5Y0.5B11.6,0.98,34.46466469,exp,only_exp
598,W0.5Y0.5B11.6,1.96,30.55879971,exp,only_exp
599,W0.5Y0.5B11.6,2.94,29.30213011,exp,only_exp
600,W0.6Nb0.4B2.1,0.49,36.00342752,exp,only_exp
601,W0.6Nb0.4B2.1,0.98,33.01710713,exp,only_exp
602,W0.6Nb0.4B2.1,1.96,30.22034741,exp,only_exp
603,W0.6Nb0.4B2.1,2.94,28.32423132,exp,only_exp
604,W0.6Nb0.4B2.1,4.9,25.88303733,exp,only_exp
605,W0.75Sc0.25B11.6,0.49,41.91300677,exp,only_exp
606,W0.75Sc0.25B11.6,0.98,34.52687623,exp,only_exp
607,W0.75Sc0.25B11.6,1.96,32.7083273,exp,only_exp
608,W0.75Sc0.25B11.6,2.94,30.69393464,exp,only_exp
609,W0.75Sc0.25B11.6,4.9,28.20394564,exp,only_exp
610,W0.7Os0.3 ,0.49,17.04,exp,only_exp
611,W0.88Ta0.02Cr0.1B4,0.49,49.9,exp,only_exp
612,W0.88Ta0.02Cr0.1B4,0.98,43,exp,only_exp
613,W0.88Ta0.02Cr0.1B4,1.96,37.8,exp,only_exp
614,W0.88Ta0.02Cr0.1B4,2.94,34.5,exp,only_exp
615,W0.88Ta0.02Cr0.1B4,4.9,30.8,exp,only_exp
616,W0.88Ta0.02Mn0.1B4,0.49,47.2,exp,only_exp
617,W0.88Ta0.02Mn0.1B4,0.98,36.9,exp,only_exp
618,W0.88Ta0.02Mn0.1B4,1.96,33.1,exp,only_exp
619,W0.88Ta0.02Mn0.1B4,2.94,31.5,exp,only_exp
620,W0.88Ta0.02Mn0.1B4,4.9,30.4,exp,only_exp
621,W0.8Dy0.2B11.6,4.9,26.95609756,exp,only_exp
622,W0.8Dy0.2B11.6,0.49,41.74146341,exp,only_exp
623,W0.8Dy0.2B11.6,0.98,33.71707317,exp,only_exp
624,W0.8Dy0.2B11.6,1.96,30.33658537,exp,only_exp
625,W0.8Dy0.2B11.6,2.94,28.8,exp,only_exp
626,W0.8Er0.2B11.6,4.9,27.01766784,exp,only_exp
627,W0.8Er0.2B11.6,0.49,38.58814291,exp,only_exp
628,W0.8Er0.2B11.6,0.98,35.23517864,exp,only_exp
629,W0.8Er0.2B11.6,1.96,31.03023165,exp,only_exp
630,W0.8Er0.2B11.6,2.94,30.61798194,exp,only_exp
631,W0.8Gd0.2B11.6,4.9,28.04614629,exp,only_exp
632,W0.8Gd0.2B11.6,0.49,38.35297005,exp,only_exp
633,W0.8Gd0.2B11.6,0.98,32.76877761,exp,only_exp
634,W0.8Gd0.2B11.6,1.96,30.72655866,exp,only_exp
635,W0.8Gd0.2B11.6,2.94,29.45017182,exp,only_exp
636,W0.8Ho0.2B11.6,4.9,30.19333333,exp,only_exp
637,W0.8Ho0.2B11.6,0.49,43.02666667,exp,only_exp
638,W0.8Ho0.2B11.6,0.98,36.29333333,exp,only_exp
639,W0.8Ho0.2B11.6,1.96,33.36,exp,only_exp
640,W0.8Ho0.2B11.6,2.94,31.32666667,exp,only_exp
641,W0.8Nb0.2B2.1,0.49,37.12878326,exp,only_exp
642,W0.8Nb0.2B2.1,0.98,33.21809384,exp,only_exp
643,W0.8Nb0.2B2.1,1.96,29.61551935,exp,only_exp
644,W0.8Nb0.2B2.1,2.94,27.31650799,exp,only_exp
645,W0.8Nb0.2B2.1,4.9,24.94636894,exp,only_exp
646,W0.8Sc0.2B11.6,0.49,39.25845882,exp,only_exp
647,W0.8Sc0.2B11.6,0.98,34.78205484,exp,only_exp
648,W0.8Sc0.2B11.6,1.96,32.37597472,exp,only_exp
649,W0.8Sc0.2B11.6,2.94,30.0818053,exp,only_exp
650,W0.8Sc0.2B11.6,4.9,27.78763589,exp,only_exp
651,W0.8Ta0.2B2.1,0.49,34.59975148,exp,only_exp
652,W0.8Ta0.2B2.1,0.98,31.54699579,exp,only_exp
653,W0.8Ta0.2B2.1,1.96,29.49626618,exp,only_exp
654,W0.8Ta0.2B2.1,2.94,27.23585225,exp,only_exp
655,W0.8Ta0.2B2.1,4.9,24.88217742,exp,only_exp
656,W0.8Tb0.2B11.6,4.9,26.69945355,exp,only_exp
657,W0.8Tb0.2B11.6,0.49,42.30054645,exp,only_exp
658,W0.8Tb0.2B11.6,0.98,32.32786885,exp,only_exp
659,W0.8Tb0.2B11.6,1.96,29.15846995,exp,only_exp
660,W0.8Tb0.2B11.6,2.94,28.14754098,exp,only_exp
661,W0.8Y0.2B11.6,4.9,27.64738769,exp,only_exp
662,W0.8Y0.2B11.6,0.49,38.65173773,exp,only_exp
663,W0.8Y0.2B11.6,0.98,32.87785036,exp,only_exp
664,W0.8Y0.2B11.6,1.96,31.21357668,exp,only_exp
665,W0.8Y0.2B11.6,2.94,29.31159025,exp,only_exp
666,W0.93Ta0.02Cr0.05B4,0.49,57.3,exp,only_exp
667,W0.93Ta0.02Cr0.05B4,0.98,44.1,exp,only_exp
668,W0.93Ta0.02Cr0.05B4,1.96,38.2,exp,only_exp
669,W0.93Ta0.02Cr0.05B4,2.94,34.8,exp,only_exp
670,W0.93Ta0.02Cr0.05B4,4.9,31.7,exp,only_exp
671,W0.94Ta0.02Mn0.04B4,0.49,55.8,exp,only_exp
672,W0.94Ta0.02Mn0.04B4,0.98,46.7,exp,only_exp
673,W0.94Ta0.02Mn0.04B4,1.96,37,exp,only_exp
674,W0.94Ta0.02Mn0.04B4,2.94,34.8,exp,only_exp
675,W0.94Ta0.02Mn0.04B4,4.9,30.9,exp,only_exp
676,W0.94Ta0.06B2.1,0.49,35.7105193,exp,only_exp
677,W0.94Ta0.06B2.1,0.98,29.86134618,exp,only_exp
678,W0.94Ta0.06B2.1,1.96,27.36785048,exp,only_exp
679,W0.94Ta0.06B2.1,2.94,26.10946264,exp,only_exp
680,W0.94Ta0.06B2.1,4.9,24.26846434,exp,only_exp
681,W0.9Cr0.1B4,0.49,53.5,exp,only_exp
682,W0.9Cr0.1B4,4.9,32.4,exp,only_exp
683,W0.9Dy0.1B11.6,4.9,27.05853659,exp,only_exp
684,W0.9Dy0.1B11.6,0.49,41.05853659,exp,only_exp
685,W0.9Dy0.1B11.6,0.98,33.30731707,exp,only_exp
686,W0.9Dy0.1B11.6,1.96,29.89268293,exp,only_exp
687,W0.9Dy0.1B11.6,2.94,27.87804878,exp,only_exp
688,W0.9Er0.1B11.6,4.9,28.17196702,exp,only_exp
689,W0.9Er0.1B11.6,0.49,45.87122104,exp,only_exp
690,W0.9Er0.1B11.6,0.98,34.3557126,exp,only_exp
691,W0.9Er0.1B11.6,1.96,32.48684727,exp,only_exp
692,W0.9Er0.1B11.6,2.94,31.46996466,exp,only_exp
693,W0.9Gd0.1B11.6,4.9,30.05645557,exp,only_exp
694,W0.9Gd0.1B11.6,0.49,44.03289151,exp,only_exp
695,W0.9Gd0.1B11.6,0.98,35.83210604,exp,only_exp
696,W0.9Gd0.1B11.6,1.96,31.84339715,exp,only_exp
697,W0.9Gd0.1B11.6,2.94,31.55621011,exp,only_exp
698,W0.9Ho0.1B11.6,4.9,29.42666667,exp,only_exp
699,W0.9Ho0.1B11.6,0.49,43.06,exp,only_exp
700,W0.9Ho0.1B11.6,0.98,35.36,exp,only_exp
701,W0.9Ho0.1B11.6,1.96,33.72666667,exp,only_exp
702,W0.9Ho0.1B11.6,2.94,32.12666667,exp,only_exp
703,W0.9Nb0.1B2.1,0.49,37.11075874,exp,only_exp
704,W0.9Nb0.1B2.1,0.98,32.10979226,exp,only_exp
705,W0.9Nb0.1B2.1,1.96,29.38416024,exp,only_exp
706,W0.9Nb0.1B2.1,2.94,28.03321906,exp,only_exp
707,W0.9Nb0.1B2.1,4.9,25.63940312,exp,only_exp
708,W0.9Sc0.1B11.6,0.49,43.09813533,exp,only_exp
709,W0.9Sc0.1B11.6,0.98,36.29956011,exp,only_exp
710,W0.9Sc0.1B11.6,1.96,34.08932372,exp,only_exp
711,W0.9Sc0.1B11.6,2.94,30.73200263,exp,only_exp
712,W0.9Sc0.1B11.6,4.9,28.35390018,exp,only_exp
713,W0.9Ta0.1B2.1,0.49,34.92040922,exp,only_exp
714,W0.9Ta0.1B2.1,0.98,28.81489784,exp,only_exp
715,W0.9Ta0.1B2.1,1.96,27.3234987,exp,only_exp
716,W0.9Ta0.1B2.1,2.94,26.55446042,exp,only_exp
717,W0.9Ta0.1B2.1,4.9,24.50377779,exp,only_exp
718,W0.9Tb0.1B11.6,4.9,26.50819672,exp,only_exp
719,W0.9Tb0.1B11.6,0.49,42.6010929,exp,only_exp
720,W0.9Tb0.1B11.6,0.98,35.60655738,exp,only_exp
721,W0.9Tb0.1B11.6,1.96,30.22404372,exp,only_exp
722,W0.9Tb0.1B11.6,2.94,28.44808743,exp,only_exp
723,W0.9Y0.1B11.6,4.9,29.74501412,exp,only_exp
724,W0.9Y0.1B11.6,0.49,43.77216402,exp,only_exp
725,W0.9Y0.1B11.6,0.98,37.01331939,exp,only_exp
726,W0.9Y0.1B11.6,1.96,33.44709484,exp,only_exp
727,W0.9Y0.1B11.6,2.94,31.3752882,exp,only_exp
728,W2B,0.49,23.73,exp,only_exp
729,W2B5,0.29,26.12,exp,only_exp
730,W2C,0.49,24,exp,only_exp
731,W2C,0.98,20.5,exp,only_exp
732,WB,0.49,36.28,exp,only_exp
733,WB11.6,0.49,41.2583195,exp,only_exp
734,WB11.6,0.98,34.06805683,exp,only_exp
735,WB11.6,1.96,30.71075987,exp,only_exp
736,WB11.6,2.94,29.25589659,exp,only_exp
737,WB11.6,4.9,26.40217366,exp,only_exp
738,WB2,0.29,26.09,exp,only_exp
739,WB2.1,0.49,29.50839113,exp,only_exp
740,WB2.1,0.98,25.92951778,exp,only_exp
741,WB2.1,1.96,24.69705809,exp,only_exp
742,WB2.1,2.94,23.20388577,exp,only_exp
743,WB2.1,4.9,21.94770066,exp,only_exp
744,WB4,0.49,40.39,exp,only_exp
745,WB4,0.98,38,exp,only_exp
746,WB4,1.96,32.9,exp,only_exp
747,WB4,4.9,28.1,exp,only_exp
748,WC,9.8,25.6,exp,only_exp
749,Y0.05Sc0.95CrB4,0.49,31.6298633,exp,only_exp
750,Y0.05Sc0.95CrB4,0.98,29.94742376,exp,only_exp
751,Y0.05Sc0.95CrB4,1.96,28.15983176,exp,only_exp
752,Y0.05Sc0.95CrB4,2.94,25.8254469,exp,only_exp
753,Y0.05Sc0.95CrB4,4.9,23.53312303,exp,only_exp
754,Y0.05Sc1.95ReB6,0.49,35.34134522,exp,only_exp
755,Y0.05Sc1.95ReB6,0.98,32.4633275,exp,only_exp
756,Y0.05Sc1.95ReB6,1.96,25.15574539,exp,only_exp
757,Y0.05Sc1.95ReB6,2.94,22.97844042,exp,only_exp
758,Y0.05Sc1.95ReB6,4.9,22.52797085,exp,only_exp
759,Y0.1Ce0.8Sm0.1O1.9 ,9.8,8.34,exp,only_exp
760,Y0.25Hf0.25Gd0.5B20,0.49,37.6,exp,only_exp
761,Y0.25Hf0.25Gd0.5B20,0.98,30.9,exp,only_exp
762,Y0.25Hf0.25Gd0.5B20,1.96,27.1,exp,only_exp
763,Y0.25Hf0.25Gd0.5B20,2.98,25.7,exp,only_exp
764,Y0.25Hf0.25Gd0.5B20,4.9,25.4,exp,only_exp
765,Y0.25Hf0.5Gd0.25B20,0.49,43.2,exp,only_exp
766,Y0.25Hf0.5Gd0.25B20,0.98,35.9,exp,only_exp
767,Y0.25Hf0.5Gd0.25B20,1.96,33.3,exp,only_exp
768,Y0.25Hf0.5Gd0.25B20,2.98,31.8,exp,only_exp
769,Y0.25Hf0.5Gd0.25B20,4.9,28.6,exp,only_exp
770,Y0.25Hf0.75B20,0.49,44.1,exp,only_exp
771,Y0.25Hf0.75B20,0.98,36.5,exp,only_exp
772,Y0.25Hf0.75B20,1.96,34.6,exp,only_exp
773,Y0.25Hf0.75B20,2.98,31.9,exp,only_exp
774,Y0.25Hf0.75B20,4.9,30.8,exp,only_exp
775,Y0.25Sc0.75CrB4,0.49,35.35226078,exp,only_exp
776,Y0.25Sc0.75CrB4,0.98,32.0084122,exp,only_exp
777,Y0.25Sc0.75CrB4,1.96,27.59200841,exp,only_exp
778,Y0.25Sc0.75CrB4,2.94,26.14090431,exp,only_exp
779,Y0.25Sc0.75CrB4,4.9,23.11251314,exp,only_exp
780,Y0.25Sc1.75ReB6,0.49,35.59409986,exp,only_exp
781,Y0.25Sc1.75ReB6,0.98,32.39077837,exp,only_exp
782,Y0.25Sc1.75ReB6,1.96,27.11027396,exp,only_exp
783,Y0.25Sc1.75ReB6,2.94,24.65771741,exp,only_exp
784,Y0.25Sc1.75ReB6,4.9,23.08107391,exp,only_exp
785,Y0.25Zr0.75B12,0.49,43.88793167,exp,only_exp
786,Y0.25Zr0.75B12,0.98,36.39841791,exp,only_exp
787,Y0.25Zr0.75B12,1.96,34.17780736,exp,only_exp
788,Y0.25Zr0.75B12,2.94,32.84544103,exp,only_exp
789,Y0.25Zr0.75B12,4.9,30.38258206,exp,only_exp
790,Y0.2Zr0.8O1.92,9.81,12.83,exp,only_exp
791,Y0.5Ce0.5O1.75 ,9.8,7.4985,exp,only_exp
792,Y0.5Hf0.25Gd0.25B20,0.49,43.2,exp,only_exp
793,Y0.5Hf0.25Gd0.25B20,0.98,37.4,exp,only_exp
794,Y0.5Hf0.25Gd0.25B20,1.96,33.8,exp,only_exp
795,Y0.5Hf0.25Gd0.25B20,2.98,31.9,exp,only_exp
796,Y0.5Hf0.25Gd0.25B20,4.9,30.8,exp,only_exp
797,Y0.5Sc0.5CrB4,0.49,42.01892744,exp,only_exp
798,Y0.5Sc0.5CrB4,0.98,35.37329127,exp,only_exp
799,Y0.5Sc0.5CrB4,1.96,28.89589905,exp,only_exp
800,Y0.5Sc0.5CrB4,2.94,26.16193481,exp,only_exp
801,Y0.5Sc0.5CrB4,4.9,24.16403785,exp,only_exp
802,Y0.5Sc1.5ReB6,0.49,36.7985002,exp,only_exp
803,Y0.5Sc1.5ReB6,0.98,33.87043031,exp,only_exp
804,Y0.5Sc1.5ReB6,1.96,27.23851718,exp,only_exp
805,Y0.5Sc1.5ReB6,2.94,25.31152615,exp,only_exp
806,Y0.5Sc1.5ReB6,4.9,23.48462178,exp,only_exp
807,Y0.5Zr0.5B12,0.98,38.40990058,exp,only_exp
808,Y0.5Zr0.5B12,1.96,35.32123318,exp,only_exp
809,Y0.5Zr0.5B12,2.94,33.88790928,exp,only_exp
810,Y0.5Zr0.5B12,4.9,31.66729873,exp,only_exp
811,Y0.5Zr0.5B12,0.49,43.26778151,exp,only_exp
812,Y0.75Sc0.25CrB4,0.49,39.6214511,exp,only_exp
813,Y0.75Sc0.25CrB4,0.98,33.05993691,exp,only_exp
814,Y0.75Sc0.25CrB4,1.96,27.97055731,exp,only_exp
815,Y0.75Sc0.25CrB4,2.94,25.90956887,exp,only_exp
816,Y0.75Sc0.25CrB4,4.9,22.98633018,exp,only_exp
817,Y0.75Sc1.25ReB6,0.49,37.65249996,exp,only_exp
818,Y0.75Sc1.25ReB6,0.98,33.94863904,exp,only_exp
819,Y0.75Sc1.25ReB6,1.96,28.51799579,exp,only_exp
820,Y0.75Sc1.25ReB6,2.94,26.390743,exp,only_exp
821,Y0.75Sc1.25ReB6,4.9,24.81411719,exp,only_exp
822,Y0.75Zr0.25B12,0.98,35.75808038,exp,only_exp
823,Y0.75Zr0.25B12,1.96,34.36515194,exp,only_exp
824,Y0.75Zr0.25B12,2.94,31.98304244,exp,only_exp
825,Y0.75Zr0.25B12,4.9,30.89292454,exp,only_exp
826,Y0.95Sc0.05CrB4,0.49,38.44374343,exp,only_exp
827,Y0.95Sc0.05CrB4,0.98,32.49211356,exp,only_exp
828,Y0.95Sc0.05CrB4,1.96,27.54994742,exp,only_exp
829,Y0.95Sc0.05CrB4,2.94,26.47739222,exp,only_exp
830,Y0.95Sc0.05CrB4,4.9,23.02839117,exp,only_exp
831,Y1.25Sc0.75ReB6,0.49,40.26147397,exp,only_exp
832,Y1.25Sc0.75ReB6,0.98,33.9048655,exp,only_exp
833,Y1.25Sc0.75ReB6,1.96,29.62538689,exp,only_exp
834,Y1.25Sc0.75ReB6,2.94,26.8474912,exp,only_exp
835,Y1.25Sc0.75ReB6,4.9,25.19576944,exp,only_exp
836,Y1.5Sc0.5ReB6,0.49,38.53778674,exp,only_exp
837,Y1.5Sc0.5ReB6,0.98,34.15822147,exp,only_exp
838,Y1.5Sc0.5ReB6,1.96,28.7526043,exp,only_exp
839,Y1.5Sc0.5ReB6,2.94,25.52422136,exp,only_exp
840,Y1.5Sc0.5ReB6,4.9,23.42201235,exp,only_exp
841,Y1.75Sc0.25ReB6,0.49,35.48773456,exp,only_exp
842,Y1.75Sc0.25ReB6,0.98,33.63580411,exp,only_exp
843,Y1.75Sc0.25ReB6,1.96,27.17907359,exp,only_exp
844,Y1.75Sc0.25ReB6,2.94,25.57740401,exp,only_exp
845,Y1.75Sc0.25ReB6,4.9,23.2249518,exp,only_exp
846,Y1.95Sc0.05ReB6,0.49,36.06584602,exp,only_exp
847,Y1.95Sc0.05ReB6,0.98,32.93758512,exp,only_exp
848,Y1.95Sc0.05ReB6,1.96,25.73007198,exp,only_exp
849,Y1.95Sc0.05ReB6,2.94,25.1044198,exp,only_exp
850,Y1.95Sc0.05ReB6,4.9,22.87711572,exp,only_exp
851,Y2Re0.5Cr0.5B6,0.49,28.13419913,exp,only_exp
852,Y2Re0.5Cr0.5B6,0.98,25.48268398,exp,only_exp
853,Y2Re0.5Cr0.5B6,1.96,21.37012987,exp,only_exp
854,Y2Re0.5Cr0.5B6,2.94,16.44588745,exp,only_exp
855,Y2Re0.5Cr0.5B6,4.9,14.93073593,exp,only_exp
856,Y2Re0.75Cr0.25B6,0.49,33.13961039,exp,only_exp
857,Y2Re0.75Cr0.25B6,0.98,30.21753247,exp,only_exp
858,Y2Re0.75Cr0.25B6,1.96,25.21212121,exp,only_exp
859,Y2Re0.75Cr0.25B6,2.94,23.83225108,exp,only_exp
860,Y2Re0.75Cr0.25B6,4.9,21.26190476,exp,only_exp
861,Y2Re0.95Cr0.05B6,0.49,38.28030303,exp,only_exp
862,Y2Re0.95Cr0.05B6,0.98,34.11363636,exp,only_exp
863,Y2Re0.95Cr0.05B6,1.96,29.40584416,exp,only_exp
864,Y2Re0.95Cr0.05B6,2.94,27.02489177,exp,only_exp
865,Y2Re0.95Cr0.05B6,4.9,24.26515152,exp,only_exp
866,Y2ReB6,0.49,35.69107373,exp,only_exp
867,Y2ReB6,0.98,32.46270848,exp,only_exp
868,Y2ReB6,1.96,25.48043013,exp,only_exp
869,Y2ReB6,2.94,25.10503882,exp,only_exp
870,Y2ReB6,4.9,23.1780301,exp,only_exp
871,Y3Al5O12 ,4.9,17.4,exp,only_exp
872,Y5Si3 ,1.96,4.62,exp,only_exp
873,Y5Si4,1.96,3.59,exp,only_exp
874,Yb0.2Zr0.8O1.92,1,16,exp,only_exp
875,Yb0.5Lu0.5Al3 ,0.98,5.16,exp,only_exp
876,YB12,0.49,40.83806381,exp,only_exp
877,YB12,0.98,34.64052092,exp,only_exp
878,YB12,1.96,31.85466404,exp,only_exp
879,YB12,2.94,29.61386613,exp,only_exp
880,YB12,4.9,28.26131243,exp,only_exp
881,YB20,0.49,41.6,exp,only_exp
882,YB20,0.98,34.4,exp,only_exp
883,YB20,1.96,32.7,exp,only_exp
884,YB20,2.98,30.5,exp,only_exp
885,YB20,4.9,28.5,exp,only_exp
886,YbAl3 ,0.02,6.06,exp,only_exp
887,YbB6 ,0.49,21.57,exp,only_exp
888,YC2 ,1.72,5,exp,only_exp
889,YCrB4,0.49,37.51412255,exp,only_exp
890,YCrB4,0.98,33.13676406,exp,only_exp
891,YCrB4,1.96,27.60217286,exp,only_exp
892,YCrB4,2.94,26.29399676,exp,only_exp
893,YCrB4,4.9,24.23110368,exp,only_exp
894,YFe2 ,0.5,3.5,exp,only_exp
895,YMn2Si2 ,0.49,5.6,exp,only_exp
896,YRe0.25Cr0.75B4,0.49,39.38330065,exp,only_exp
897,YRe0.25Cr0.75B4,0.98,32.99336355,exp,only_exp
898,YRe0.25Cr0.75B4,1.96,29.84870946,exp,only_exp
899,YRe0.25Cr0.75B4,2.94,26.17575348,exp,only_exp
900,YRe0.25Cr0.75B4,4.9,24.01221004,exp,only_exp
901,YRe0.5Cr0.5B4,0.49,42.51036182,exp,only_exp
902,YRe0.5Cr0.5B4,0.98,37.15184983,exp,only_exp
903,YRe0.5Cr0.5B4,1.96,31.08895675,exp,only_exp
904,YRe0.5Cr0.5B4,2.94,27.69273033,exp,only_exp
905,YRe0.5Cr0.5B4,4.9,26.05753163,exp,only_exp
906,YRe0.75Cr0.25B4,0.49,37.93928835,exp,only_exp
907,YRe0.75Cr0.25B4,0.98,33.15941414,exp,only_exp
908,YRe0.75Cr0.25B4,1.96,28.05247447,exp,only_exp
909,YRe0.75Cr0.25B4,2.94,24.3040468,exp,only_exp
910,YRe0.75Cr0.25B4,4.9,21.41098647,exp,only_exp
911,YRe0.95Cr0.05B4,0.49,35.02711367,exp,only_exp
912,YRe0.95Cr0.05B4,0.98,31.1277426,exp,only_exp
