rgroups,num_atoms
[*]c1cc(=O)n2ccc(Cl)cc2n1,13
[*]CS(=O)(=O)C1CC1,8
[*]N1CCC2(CC1)OCC(Br)C(Br)CO2,15
[*]N1CCC(C=O)CC1,9
[*]OC1=C(c2ccc(Cl)cc2Cl)C(=O)OC12CCCCC2,21
[*]c1nn2c(=O)c3ccccc3nc2s1,15
[*]N1CCC(C)C1,7
[*]c1nnc(S)n1N=Cc1sccc1C,15
[*]c1cc(=O)nc2ccc3ccccc3n12,16
[*]N1CCOC1=CC,8
[*]N1CCC2(CC1)COC1c3ccccc3OC(C)(C)C1C2,22
[*]N1CCC2OC2(C#Cc2ccccc2)C1,16
[*]N1CCc2cc3c(cc2C1)OCO3,14
[*]N1CCOC(=O)C12CCCC2,12
[*]N1CCc2cc3c(cc2C1)OCCO3,15
[*]C(C)CCCCCC,9
[*]N1C(=O)CSC1=Nc1sc2c(c1C#N)CCCC2,19
[*]N1CC(C)(C)OC2COCC21,12
[*]c1ncc(C2=C(Cl)C(=O)C(N3CCOCC3)=C(Cl)C2=O)s1,22
[*]N1CCOCC1C#N,9
[*]N1CCC2(CC1)OC(c1cc(Cl)cc(Cl)c1)c1cccnc12,23
[*]c1nn2c(=O)c3cc(Br)ccc3nc2c2ccccc12,21
[*]N1C(=O)CSC1=NS(=O)(=O)c1ccc(C)cc1,18
[*]ON=Cc1ccc(Cl)c(Cl)c1,12
[*]N1CC2(COCC(=O)C2)C1,11
[*]N1N=C(CCCCCCCCCC)CC1=O,17
[*]C(Cl)(C#N)CC,7
[*]c1ccc(C=c2sc3nc4cc(C)c(C)cc4n3c2=O)o1,22
[*]c1nccc2oc(C)cc12,11
[*]C(=O)CS(=O)(=O)c1ccccc1Cl,14
[*]c1ccc2ccccn12,10
[*]c1nc(C)cn2cccc12,11
[*]N1CC(C)(C)C1,7
[*]c1ncc(Br)cc1Cl,9
[*]N1C(=O)C(=C2Oc3ccc4ccccc4c3N2C)OC1=S,22
[*]N1CCCC(C=O)C1,9
[*]N1Cc2cccc(Br)c2C(C)C1,13
[*]c1cc2c(nn1)-c1ccccc1CCC2,16
[*]N1C2=NCCN2c2ccccc21,13
[*]N1CCC2(CC1)C(=O)N(C)c1ccccc12,17
[*]c1ccc(C=NN2C(=O)C3C4C=CC(C4)C3C2=O)o1,20
[*]c1ncnc(C)c1F,9
[*]C(C)CC(=O)C1=COCCC1,12
[*]c1nc(I)oc1C,8
[*]CS(=O)(=O)C1=C(N2CCOCC2)CCCCCC1,19
[*]CN1CCOC(C)(C)C1,10
[*]N1C(=O)CC(C2(C#N)CCCCC2=O)C1=O,17
[*]N1C(=O)CC2(CCc3ccccc32)C1=O,16
[*]N1CC2CC1(C=O)CO2,10
[*]N1CCCC2(CCC(=O)O2)CC1,13
[*]c1ncccc1F,8
[*]ON=Cc1cccnc1,10
[*]c1nc2cc(C)cnc2n1N1CCOCC1,17
[*]OP([CH2-])(=O)[O-],6
[*]C(Cl)(Cl)Cl,5
[*]c1nc(C#N)co1,8
[*]c1oc2c(c1C)C(=O)C(=O)c1c-2ccc2c1CCCC2(C)C,23
[*]c1nc2cccnc2n(C)c1=O,13
[*]c1ncc2c(n1)-c1ccccc1CC2,15
[*]N1C(=O)C(c2ccc(Cl)cc2)=C(N2CCOCC2)C1=O,21
[*]CCCCC(=O)CP(=O)(OC)OC,14
[*]CS(=O)c1ccc(S(C)(=O)=O)cc1,14
[*]c1nc2ccsc2c(=O)n1C,12
[*]OC1=C(c2ccccc2)C(=O)OC1,14
[*]c1ccc(C=Nc2cccc(Cl)c2Cl)o1,16
[*]OC=C1C(=O)OC(=O)c2ccccc21,15
[*]N1N=C(c2ccc(F)cc2)CCC1=O,15
[*]C(=O)CN1C(=O)C(C)(C)Oc2ccc([N+](=O)[O-])nc21,20
[*]c1cc(C)c(C)nn1,9
[*]N1c2ccc(F)cc2CC1C,12
[*]c1nc2sc3c(Cl)ncnc3c2c2c1CSC(C)(C)C2,21
[*]c1oc(C=NN(c2ccccc2)c2ccccc2)cc1Br,22
[*]N1CCc2cnn(C)c2C1,11
[*]c1ccc(C=NN(c2ccccc2)c2ccccc2)s1,21
[*]c1ccc2cc(Br)cc(Cl)c2n1,13
[*]N1CCC2CCC(C1)N2C,11
[*]N1CCC(C)CC(C)(C)C1,11
[*]CS(=O)(=O)c1ccc(Cl)cc1Cl,13
[*]N1C(=O)C2C3OC(C4C(c5cccc([N+](=O)[O-])c5)=NOC34)C2C1=O,25
[*]N1Cc2ccc(Br)cc2OC1=O,13
[*]N1CCN=COCC1,9
[*]N1CCOCCC1=O,9
[*]ON=CC,5
[*]ON=C(C)c1ccc(Cl)cc1,12
[*]CCCC[Se]C#N,8
[*]N1N=C(C(=O)n2ccc(C)cc2=NC2CCCCC2)CCC1=O,24
[*]N1CCC(Cl)C(C)C1,9
[*]N1CCCC2(CC1)CC(=O)CO2,13
[*]N1CCc2cc3c(cc2C1)OCCCO3,16
[*]c1nn(C)cc1I,8
[*]c1ccc([N+](=O)[O-])c(F)n1,11
[*]c1cc2n(c(=O)n1)CC1COCCN21,15
[*]c1ncnc2cc(C)c(C)cc12,13
[*]On1cnc2c(Cl)nc(I)nc21,13
[*]c1c([N+](=O)[O-])ncn1C,10
[*]c1nc2ccc(Br)cc2n2nnnc12,15
[*]c1cn2c(n1)-c1ccc(Br)cc1OCC2,16
[*]c1nc2cc(C)cc(C)c2cc1C=O,15
[*]N1CC(C)OC2(CCCCC2)C1,13
[*]N1CCOCC2(COCCN2C)C1,14
[*]N1CCCCC2(CO2)C1,10
[*]N1CC2(COC3c4ccccc4OC(C)(C)C3C2)C1,20
[*]C(=O)C(C#N)C(C)C,9
[*]CC(C)C(C)Cl,7
[*]N1CC(F)(F)CCC1=O,10
[*]c1nnc2cc(C)c3ccccc3n12,15
[*]N1CC2CCCC(C2)C1,10
[*]OC=C1N=C(c2ccc(F)cc2)OC1=O,16
[*]CS(=O)(=O)CC,7
[*]c1ncnc2cc([N+](=O)[O-])ccc12,14
